;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
2;Sprzedam 30m2, Krowodrza, ul. Żabiniec;Kraków , Krowodrza;1 pokój;315000.0;30.0;10500.0;https://www.otodom.pl/oferta/sprzedam-30m2-krowodrza-ul-zabiniec-ID4405z.html#de3f47c1fe;2020-02-10 18:43:57.525738;Żabiniec;Kraków, Kraków , Krowodrza, Żabiniec;Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0851745, 19.9473248, 0.0);50.0851745;19.9473248;0.0;POINT (567751.0951210554 246865.3778822608)
4;os Szkolne 2 pok Gotowe do zamieszkania 7500zł/m2;Kraków , Nowa Huta;2 pokoje;390000.0;52.0;7500.0;https://www.otodom.pl/oferta/os-szkolne-2-pok-gotowe-do-zamieszkania-7500zl-m2-ID44CHR.html#de3f47c1fe;2020-02-10 18:43:57.525738;Szkolne;Kraków, Kraków , Nowa Huta, Szkolne;Osiedle Szkolne, Osiedle Na Skarpie, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0774958, 20.0482373, 0.0);50.0774958;20.0482373;0.0;POINT (574980.0319449959 246108.3005765826)
11;Nowa kawalerka - Centrum, UEK, Rakowicka;Kraków , Stare Miasto;1 pokój;310000.0;26.62;11645.0;https://www.otodom.pl/oferta/nowa-kawalerka-centrum-uek-rakowicka-ID44CGg.html#de3f47c1fe;2020-02-10 18:43:57.526735;Rakowicka;Kraków, Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Kraków, województwo małopolskie, 31-511, Polska;(50.068229, 19.9525984, 0.0);50.068229;19.9525984;0.0;POINT (568152.2658953031 244986.6823723251)
14;Mieszkanie, 68,50 m², Kraków;Kraków , Mistrzejowice;3 pokoje;640000.0;68.5;9343.0;https://www.otodom.pl/oferta/mieszkanie-68-50-m-krakow-ID44CF9.html#de3f47c1fe;2020-02-10 18:43:57.526735;"""Kraków""";"Kraków, Kraków , Mistrzejowice, ""Kraków""";Lądowisko Rakowice-Czyżyny, Stefana Jurczaka, Czyżyny, Kraków, województwo małopolskie, 31-634, Polska;(50.0846957, 19.9886787, 0.0);50.0846957;19.9886787;0.0;POINT (570709.3112874664 246850.4873105474)
15;Mieszkanie, 34,20 m², Kraków;Kraków , Wzgórza Krzesławickie;1 pokój;280000.0;34.2;8187.0;https://www.otodom.pl/oferta/mieszkanie-34-20-m-krakow-ID44CF7.html#de3f47c1fe;2020-02-10 18:43:57.526735;"""Kraków""";"Kraków, Kraków , Wzgórza Krzesławickie, ""Kraków""";ArcelorMittal oddział Kraków (Huta im. Tadeusza Sendzimira), 1, Ujastek, Krzesławice, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-752, Polska;(50.0799299, 20.0665192, 0.0);50.0799299;20.0665192;0.0;POINT (576283.8405999765 246397.3590065716)
18;Okazja ! os Hutnicze 2 pokoje 54m2 6500 zł/m2;Kraków , Nowa Huta;2 pokoje;355000.0;54.0;6574.0;https://www.otodom.pl/oferta/okazja-os-hutnicze-2-pokoje-54m2-6500-zl-m2-ID44CE9.html#de3f47c1fe;2020-02-10 18:43:57.526735;Hutnicze;Kraków, Kraków , Nowa Huta, Hutnicze;Osiedle Hutnicze, Osiedle Na Skarpie, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0727517, 20.0454692, 0.0);50.0727517;20.0454692;0.0;POINT (574789.4141547376 245578.2219592398)
25;2 pokoje - Wola Justowska - okolice Błoń !;Kraków , Zwierzyniec, Wola Justowska;2 pokoje;409000.0;31.46;13001.0;https://www.otodom.pl/oferta/2-pokoje-wola-justowska-okolice-blon-ID44zHA.html#de3f47c1fe;2020-02-10 18:43:57.527732;Justowska;Kraków, Kraków , Zwierzyniec, Wola Justowska, Justowska;FUP Kraków 23, 238, Królowej Jadwigi, Zwierzyniec, Kraków, województwo małopolskie, 30-220, Polska;(50.0650619, 19.877649, 0.0);50.0650619;19.877649;0.0;POINT (562794.3317268024 244568.9814333031)
27;3 pokoje na 2 piętrze Wola Duchacka (Właściciel);Kraków , Podgórze Duchackie, Wola Duchacka;3 pokoje;461000.0;53.08;8685.0;https://www.otodom.pl/oferta/3-pokoje-na-2-pietrze-wola-duchacka-wlasciciel-ID44phL.html#de3f47c1fe;2020-02-10 18:47:22.320834;Duchacka;Kraków, Kraków , Podgórze Duchackie, Wola Duchacka, Duchacka;Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703)
61;Apartament 3 pokojowy, 63 m, Grzegórzki Kotlarska;Kraków , Grzegórzki;3 pokoje;674800.0;63.0;10711.0;https://www.otodom.pl/oferta/apartament-3-pokojowy-63-m-grzegorzki-kotlarska-ID44pdH.html#bcc2421ba9;2020-02-10 18:47:23.702826;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730346;0.0;POINT (568541.9372308356 243810.2551311059)
70;słoneczne mieszkanie na 2 piętrze w cenie meble;Kraków , Nowa Huta;2 pokoje;395000.0;52.0;7596.0;https://www.otodom.pl/oferta/sloneczne-mieszkanie-na-2-pietrze-w-cenie-meble-ID44Cxj.html#bcc2421ba9;2020-02-10 18:47:23.702826;Słoneczne;Kraków, Kraków , Nowa Huta, Słoneczne;Osiedle Słoneczne, Nowa Huta, Kraków, województwo małopolskie, Polska;(50.0776057, 20.0420898, 0.0);50.0776057;20.0420898;0.0;POINT (574540.1416298144 246114.3636779059)
