;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
0;Apartament 3 pokojowy, 63 m, Grzegórzki Kotlarska;Kraków , Grzegórzki;3 pokoje;674800.0;63.0;10711.0;https://www.otodom.pl/oferta/apartament-3-pokojowy-63-m-grzegorzki-kotlarska-ID44pdH.html#de3f47c1fe;2020-02-13 20:16:24.522132;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730346;0.0;POINT (568541.9372308356 243810.2551311059)
1;Ruczaj, Piltza, 4 pokoje, 70m2 z antresolą;Kraków , Dębniki, Ruczaj;4 pokoje;599000.0;70.0;8557.0;https://www.otodom.pl/oferta/ruczaj-piltza-4-pokoje-70m2-z-antresola-ID44u9n.html#de3f47c1fe;2020-02-13 20:16:24.522132;Ruczaj;Kraków, Kraków , Dębniki, Ruczaj, Ruczaj;Ruczaj, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-409, Polska;(50.0259495, 19.9198508, 0.0);50.0259495;19.9198508;0.0;POINT (565867.2616859295 240257.9741840241)
3;Mieszkanie, 53,74 m², Kraków;Kraków , Podgórze;2 pokoje;403000.0;53.74;7499.0;https://www.otodom.pl/oferta/mieszkanie-53-74-m-krakow-ID44Gt8.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132)
4;Mieszkanie 2 pokojowe na ul.Chełmońskiego w pobliż;Kraków , Krowodrza;2 pokoje;407000.0;39.0;10436.0;https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-na-ul-chelmonskiego-w-pobliz-ID44GsZ.html#de3f47c1fe;2020-02-13 20:16:24.523125;Chełmońskiego;Kraków, Kraków , Krowodrza, Chełmońskiego;Józefa Chełmońskiego - Deptak, Osiedle Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-303, Polska;(50.0850252, 19.9181359, 0.0);50.0850252;19.9181359;0.0;POINT (565663.7893490682 246822.715877234)
5;Wiślane Tarasy Ul.Grzegórzecka 84M2 Duży Taras;Kraków , Grzegórzki;4 pokoje;1220000.0;84.0;14524.0;https://www.otodom.pl/oferta/wislane-tarasy-ul-grzegorzecka-84m2-duzy-taras-ID44GsS.html#de3f47c1fe;2020-02-13 20:16:24.523125;Wiślana;Kraków, Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423)
6;Starowiślna Apartament 96M2 3 Pokoje;Kraków , Stare Miasto;3 pokoje;1300000.0;96.0;13542.0;https://www.otodom.pl/oferta/starowislna-apartament-96m2-3-pokoje-ID44GsR.html#de3f47c1fe;2020-02-13 20:16:24.523125;Starowiślna;Kraków, Kraków , Stare Miasto, Starowiślna;Starowiślna, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-038, Polska;(50.0560672, 19.9457877, 0.0);50.0560672;19.9457877;0.0;POINT (567682.1226694608 243628.7109473413)
8;Mieszkanie, 58,70 m², Kraków;Kraków , Podgórze;3 pokoje;499000.0;58.7;8501.0;https://www.otodom.pl/oferta/mieszkanie-58-70-m-krakow-ID44GrF.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Podgórze, ""Kraków""";Kraków Płaszów, Peron 2 - moderniacja, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-902, Polska;(50.0345327, 19.9754459, 0.0);50.0345327;19.9754459;0.0;POINT (569835.7166101226 241262.450246132)
9;Mieszkanie, 68,17 m², Kraków;Kraków , Łagiewniki-Borek Fałęcki, Łagiewniki;3 pokoje;850000.0;68.17;12469.0;https://www.otodom.pl/oferta/mieszkanie-68-17-m-krakow-ID44GrI.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Łagiewniki-Borek Fałęcki, Łagiewniki, ""Kraków""";Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703)
10;Mieszkanie, 36 m², Kraków;Kraków , Łagiewniki-Borek Fałęcki, Łagiewniki;2 pokoje;450000.0;36.0;12500.0;https://www.otodom.pl/oferta/mieszkanie-36-m-krakow-ID44GrB.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Łagiewniki-Borek Fałęcki, Łagiewniki, ""Kraków""";Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703)
11;Mieszkanie, 44,51 m², Kraków;Kraków , Grzegórzki;2 pokoje;449000.0;44.51;10088.0;https://www.otodom.pl/oferta/mieszkanie-44-51-m-krakow-ID44Gry.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Grzegórzki, ""Kraków""";Kraków Główny, Peron 3, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 30-901, Polska;(50.0686663, 19.947802, 0.0);50.0686663;19.947802;0.0;POINT (567808.5033167193 245030.9240660574)
12;Mieszkanie, 66 m², Kraków;Kraków , Dębniki, Ruczaj;3 pokoje;640000.0;66.0;9697.0;https://www.otodom.pl/oferta/mieszkanie-66-m-krakow-ID44Grz.html#de3f47c1fe;2020-02-13 20:16:24.523125;"""Kraków""";"Kraków, Kraków , Dębniki, Ruczaj, ""Kraków""";Przychodnia NZOZ Kraków - Południe, Zachodnia, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-350, Polska;(50.0260635, 19.9047378, 0.0);50.0260635;19.9047378;0.0;POINT (564784.9356098109 240257.4394052504)
13;Bezpośrednio sprzedam Kazimierz. 3 pokoje 60m2;Kraków , Stare Miasto, Kazimierz;3 pokoje;699000.0;60.0;11650.0;https://www.otodom.pl/oferta/bezposrednio-sprzedam-kazimierz-3-pokoje-60m2-ID43yTF.html#de3f47c1fe;2020-02-13 20:16:24.523125;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022)
15;Sprzedam mieszkanie 52m2, Dębniki ul. Bałuckiego 5;Kraków , Dębniki;2 pokoje;639000.0;52.0;12288.0;https://www.otodom.pl/oferta/sprzedam-mieszkanie-52m2-debniki-ul-baluckiego-5-ID44GqJ.html#de3f47c1fe;2020-02-13 20:16:24.523125;Dębnicki;Kraków, Kraków , Dębniki, Dębnicki;Park Dębnicki, Dębniki, Kraków, województwo małopolskie, Polska;(50.0495234, 19.91693092494888, 0.0);50.0495234;19.91693092494888;0.0;POINT (565626.040058322 242875.6318850024)
21;Mieszkanie w kamienicy na ul. Dietla;Kraków , Stare Miasto;2 pokoje;639870.0;60.94;10500.0;https://www.otodom.pl/oferta/mieszkanie-w-kamienicy-na-ul-dietla-ID44Gpa.html#de3f47c1fe;2020-02-13 20:16:24.523125;Dietla;Kraków, Kraków , Stare Miasto, Dietla;Pomnik Józefa Dietla, Franciszkańska, Stare Miasto, Kraków, województwo małopolskie, 31-004, Polska;(50.059086, 19.936759, 0.0);50.059086;19.936759;0.0;POINT (567031.8177884414 243956.1112772496)
23;Mieszkanie, 50 m², Kraków;Kraków , Bronowice;2 pokoje;480000.0;50.0;9600.0;https://www.otodom.pl/oferta/mieszkanie-50-m-krakow-ID44GoA.html#de3f47c1fe;2020-02-13 20:16:24.524125;"""Kraków""";"Kraków, Kraków , Bronowice, ""Kraków""";Kraków Mydlniki, Generała Bolesława Wieniawy-Długoszowskiego, Mydlniki, Bronowice, Kraków, województwo małopolskie, 30-149, Polska;(50.0835967, 19.8596997, 0.0);50.0835967;19.8596997;0.0;POINT (561486.3987794621 246614.2021077145)
