Wola Justowska 2 pokojowe z garażem blisko Parku;Kraków , Zwierzyniec, Wola Justowska;2 pokoje;545 000 zł;45 m²;12 111 zł/m²;https://www.otodom.pl/oferta/wola-justowska-2-pokojowe-z-garazem-blisko-parku-ID44tD8.html#09c0ecd350;2020-02-03 12:01:59.279227
Nowoczesne mieszkanie przy ul. Drukarskiej!;Kraków , Dębniki, Ruczaj;3 pokoje;590 000 zł;63,50 m²;9 291 zł/m²;https://www.otodom.pl/oferta/nowoczesne-mieszkanie-przy-ul-drukarskiej-ID44rac.html#09c0ecd350;2020-02-03 12:01:59.294848
Kawalerka w Nowej Hucie do własnej aranżacji / NH;Kraków , Nowa Huta;1 pokój;189 700 zł;19 m²;9 984 zł/m²;https://www.otodom.pl/oferta/kawalerka-w-nowej-hucie-do-wlasnej-aranzacji-nh-ID44nYl.html#09c0ecd350;2020-02-03 12:01:59.294848
2 pokoje, jasna kuchnia, skomunikowane, balkon;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;399 000 zł;52,90 m²;7 543 zł/m²;https://www.otodom.pl/oferta/2-pokoje-jasna-kuchnia-skomunikowane-balkon-ID44qA8.html#09c0ecd350;2020-02-03 12:01:59.294848
Stare Miasto, ul. Podwale;Kraków , Stare Miasto;2 pokoje;1 290 000 zł;68 m²;18 971 zł/m²;https://www.otodom.pl/oferta/stare-miasto-ul-podwale-ID44m7k.html#09c0ecd350;2020-02-03 12:01:59.294848
Mieszkanie 3pok., 50m + strych, 20m tarasu, balkon;Kraków , Podgórze Duchackie, Kurdwanów;3 pokoje;415 000 zł;50 m²;8 300 zł/m²;https://www.otodom.pl/oferta/mieszkanie-3pok-50m-strych-20m-tarasu-balkon-ID44r7I.html#09c0ecd350;2020-02-03 12:01:59.294848
Bardzo ładne 3 pokojowe mieszkanie w starej hucie;Kraków , Nowa Huta;3 pokoje;375 000 zł;62 m²;6 048 zł/m²;https://www.otodom.pl/oferta/bardzo-ladne-3-pokojowe-mieszkanie-w-starej-hucie-ID44tgk.html#09c0ecd350;2020-02-03 12:01:59.294848
2 pok. | Powstańców | Prądnik Czerwony;Kraków , Prądnik Czerwony;2 pokoje;439 000 zł;46 m²;9 543 zł/m²;https://www.otodom.pl/oferta/2-pok-powstancow-pradnik-czerwony-ID44uXN.html#09c0ecd350;2020-02-03 12:01:59.294848
Duża kawalerka - Bronowice!;Kraków , Bronowice;1 pokój;430 000 zł;38 m²;11 316 zł/m²;https://www.otodom.pl/oferta/duza-kawalerka-bronowice-ID44uVX.html#09c0ecd350;2020-02-03 12:01:59.294848
Sprzedam przytulne i przestronne mieszkanie 57m kw;Kraków , Prądnik Biały, Górka Narodowa;3 pokoje;440 000 zł;57 m²;7 719 zł/m²;https://www.otodom.pl/oferta/sprzedam-przytulne-i-przestronne-mieszkanie-57m-kw-ID44uVN.html#09c0ecd350;2020-02-03 12:01:59.294848
Ostatnie 3 pokoje w Bronowicach;Kraków , Bronowice;3 pokoje;462 375 zł;61,65 m²;7 500 zł/m²;https://www.otodom.pl/oferta/ostatnie-3-pokoje-w-bronowicach-ID44uVu.html#09c0ecd350;2020-02-03 12:01:59.294848
Luksusowy apartament, Wiślane tarasy 2.0!;Kraków , Grzegórzki;2 pokoje;970 000 zł;53,57 m²;18 107 zł/m²;https://www.otodom.pl/oferta/luksusowy-apartament-wislane-tarasy-2-0-ID44uWh.html#09c0ecd350;2020-02-03 12:01:59.294848
