;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
0;Mieszkanie do wprowadzenia - Rondo Matecznego;Kraków , Podgórze;1 pokój;369900.0;30.0;12330.0;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#de3f47c1fe;2020-02-16 19:37:27.972656;Matecznego;Kraków , Podgórze, Matecznego;Rondo Antoniego Matecznego, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-524, Polska;(50.0367797, 19.9405272, 0.0);50.0367797;19.9405272;0.0;POINT (567332.6572123085 241480.1638806006)
2;Ul. Piwna, 35 m2, 2-pok, J.kuch, 1 piętro;Kraków , Podgórze, Stare Podgórze;2 pokoje;420000.0;35.0;12000.0;https://www.otodom.pl/oferta/ul-piwna-35-m2-2-pok-j-kuch-1-pietro-ID44z3o.html#de3f47c1fe;2020-02-16 19:37:27.972656;Piwna;Kraków , Podgórze, Stare Podgórze, Piwna;Piwna, Ludwinów, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-530, Polska;(50.0468153, 19.9523748, 0.0);50.0468153;19.9523748;0.0;POINT (568166.6040576336 242606.3535807077)
3;NOWA Inwestycja - Kazimierz, Miodowa/Krakowska;Kraków , Stare Miasto, Kazimierz;1 pokój;494400.0;32.96;15000.0;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-miodowa-krakowska-ID44uBN.html#de3f47c1fe;2020-02-16 19:37:27.972656;Kazimierza;Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022)
7;3 pok. 72 m2, Górka Narodowa, Prądnik Biały;Kraków , Prądnik Biały, Górka Narodowa;3 pokoje;530000.0;72.47;7313.0;https://www.otodom.pl/oferta/3-pok-72-m2-gorka-narodowa-pradnik-bialy-ID440Z2.html#de3f47c1fe;2020-02-16 19:37:27.972656;Góra;Kraków , Prądnik Biały, Górka Narodowa, Góra;"Schron amunicyjny ""Łysa Góra"", Węgrzecka, Górka Narodowa, Prądnik Biały, Kraków, województwo małopolskie, 31-242, Polska";(50.105246, 19.96920205268595, 0.0);50.105246;19.96920205268595;0.0;POINT (569286.7417427578 249116.4023994775)
8;Nowa kawalerka - Centrum, UEK, Rakowicka;Kraków , Stare Miasto;1 pokój;310000.0;26.62;11645.0;https://www.otodom.pl/oferta/nowa-kawalerka-centrum-uek-rakowicka-ID44CGg.html#de3f47c1fe;2020-02-16 19:37:27.988278;Rakowicka;Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Delegatura Kraków-Śródmieście, Kraków, województwo małopolskie, 31-520, Polska;(50.0751438, 19.9577519, 0.0);50.0751438;19.9577519;0.0;POINT (568511.1065507758 245759.9750759406)
9;Apartament Wiślane Tarasy - bezpośrednio;Kraków , Grzegórzki;3 pokoje;1022000.0;70.5;14496.0;https://www.otodom.pl/oferta/apartament-wislane-tarasy-bezposrednio-ID44IiR.html#de3f47c1fe;2020-02-16 19:37:27.988278;Wiślana;Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423)
11;Mieszkanie na sprzedaż, Kraków, Prądnik Czerwony,;Kraków , małopolskie;2 pokoje;390000.0;44.7;8725.0;https://www.otodom.pl/oferta/mieszkanie-na-sprzedaz-krakow-pradnik-czerwony-ID44IhB.html#de3f47c1fe;2020-02-16 19:37:27.988278;Prądnika;Kraków , małopolskie, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
14;Mieszkanie 52,2m, Kraków Prądnik Biały;Kraków , Prądnik Biały;2 pokoje;420000.0;52.2;8046.0;https://www.otodom.pl/oferta/mieszkanie-52-2m-krakow-pradnik-bialy-ID44Iev.html#de3f47c1fe;2020-02-16 19:37:27.988278;"""Kraków""";"Kraków , Prądnik Biały, ""Kraków""";Obiekt Radionawigacyjny Krakow NDB, Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.09566385, 19.912793398315383, 0.0);50.09566385;19.912793398315383;0.0;POINT (565267.2553505547 248000.5239568567)
15;Przytulne mieszkanie przy ul. Gustawa Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice;2 pokoje;299000.0;39.0;7667.0;https://www.otodom.pl/oferta/przytulne-mieszkanie-przy-ul-gustawa-morcinka-ID44re1.html#de3f47c1fe;2020-02-16 19:37:27.988278;Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice, Morcinka;Gustawa Morcinka, Zesławice, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-762, Polska;(50.1047809, 20.0362743, 0.0);50.1047809;20.0362743;0.0;POINT (574082.2602686308 249129.0941129019)
16;Apartament 4 pokoje w sercu Krakowa tuż przy Rynku;Kraków , Stare Miasto;4 pokoje;1999989.0;83.56;23935.0;https://www.otodom.pl/oferta/apartament-4-pokoje-w-sercu-krakowa-tuz-przy-rynku-ID44IdP.html#de3f47c1fe;2020-02-16 19:37:27.988278;Krakowa;Kraków , Stare Miasto, Krakowa;Muzeum Historyczne Miasta Krakowa, 35, Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, 31-013, Polska;(50.0627747, 19.936496, 0.0);50.0627747;19.936496;0.0;POINT (567007.8599429791 244365.8735910375)
21;Mistrzejowice - taras, 69m, 3-pok. do wejścia;Kraków , Mistrzejowice;3 pokoje;640000.0;69.0;9275.0;https://www.otodom.pl/oferta/mistrzejowice-taras-69m-3-pok-do-wejscia-ID44u0D.html#de3f47c1fe;2020-02-16 19:37:27.988278;Mistrzejowicka;Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska;(50.0969093, 20.0259479, 0.0);50.0969093;20.0259479;0.0;POINT (573356.0700843487 248243.9720702069)
22;Mieszkanie 3pok.55m2 oś.Bohaterów Września;Kraków , Mistrzejowice;3 pokoje;370000.0;55.0;6727.0;https://www.otodom.pl/oferta/mieszkanie-3pok-55m2-os-bohaterow-wrzesnia-ID44IbZ.html#de3f47c1fe;2020-02-16 19:37:27.988278;Września;Kraków , Mistrzejowice, Września;Osiedle Bohaterów Września, Mistrzejowice, Kraków, województwo małopolskie, 31-628, Polska;(50.0974443, 20.0080414, 0.0);50.0974443;20.0080414;0.0;POINT (572074.962236722 248286.0022401353)
24;M3 do zamieszkania od zaraz – Ruczaj Czerwone Maki;Kraków , Podgórze;2 pokoje;499000.0;51.0;9784.0;https://www.otodom.pl/oferta/m3-do-zamieszkania-od-zaraz-ruczaj-czerwone-maki-ID44jRv.html#de3f47c1fe;2020-02-16 19:37:27.988278;Czerwona;Kraków , Podgórze, Czerwona;Gabinet Kosmetyczny Czerwona Pomarańcza, Raciborska, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-348, Polska;(50.02091025, 19.90267781237101, 0.0);50.02091025;19.90267781237101;0.0;POINT (564644.3453342576 239682.8763784859)
25;Kraków Prądnik Czerwony Ugorek 65m2Do Negocjacji;Kraków , Prądnik Czerwony, Rakowice;3 pokoje;530000.0;65.0;8154.0;https://www.otodom.pl/oferta/krakow-pradnik-czerwony-ugorek-65m2do-negocjacji-ID44I9K.html#de3f47c1fe;2020-02-16 19:37:27.988278;"""Kraków""";"Kraków , Prądnik Czerwony, Rakowice, ""Kraków""";AP Kraków 73, 8, Jerzego Bajana, Rakowice, Prądnik Czerwony, Kraków, województwo małopolskie, 31-465, Polska;(50.0794879, 19.973657, 0.0);50.0794879;19.973657;0.0;POINT (569642.5377134403 246257.5285112783)
28;Mieszkanie, 73,76 m², Kraków;Kraków , Dębniki, Ruczaj;3 pokoje;899000.0;73.76;12188.0;https://www.otodom.pl/oferta/mieszkanie-73-76-m-krakow-ID44juI.html#bcc2421ba9;2020-02-16 19:37:28.925363;"""Kraków""";"Kraków , Dębniki, Ruczaj, ""Kraków""";Przychodnia NZOZ Kraków - Południe, Zachodnia, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-350, Polska;(50.0260635, 19.9047378, 0.0);50.0260635;19.9047378;0.0;POINT (564784.9356098109 240257.4394052504)
30;Ciche mieszkanie w centrum ul. Wrocławska, GOTOWE!;Kraków , Krowodrza;3 pokoje;708000.0;55.0;12873.0;https://www.otodom.pl/oferta/ciche-mieszkanie-w-centrum-ul-wroclawska-gotowe-ID44H6H.html#bcc2421ba9;2020-02-16 19:37:28.925363;Wrocławska;Kraków , Krowodrza, Wrocławska;Wrocławska, Stara Krowodrza, Krowodrza, Kraków, województwo małopolskie, 30-017, Polska;(50.0808192, 19.9179102, 0.0);50.0808192;19.9179102;0.0;POINT (565653.3926503791 246355.0193398139)
31;Wiślane Tarasy 2.0 - nowy ekskluzywny apartament;Kraków , Grzegórzki;2 pokoje;970000.0;53.57;18107.0;https://www.otodom.pl/oferta/wislane-tarasy-2-0-nowy-ekskluzywny-apartament-ID441jI.html#bcc2421ba9;2020-02-16 19:37:28.925363;Wiślana;Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423)
