Piękne mieszkanie, warte ceny, okazja;Kraków , Prądnik Biały;3 pokoje;410 688 zł;44,64 m²;9 200 zł/m²;https://www.otodom.pl/oferta/piekne-mieszkanie-warte-ceny-okazja-ID44Ghn.html#de3f47c1fe;2020-02-15 13:29:14.722105
Mieszkanie 122m2 na kancelarię, gabinet, Krowodrza;Kraków , Krowodrza;4 pokoje;1 500 000 zł;122,07 m²;12 288 zł/m²;https://www.otodom.pl/oferta/mieszkanie-122m2-na-kancelarie-gabinet-krowodrza-ID44HEu.html#de3f47c1fe;2020-02-15 13:29:14.722105
Olsza - kawalerka do remontu, mpec;Kraków , Grzegórzki, Olsza;1 pokój;250 000 zł;27 m²;9 259 zł/m²;https://www.otodom.pl/oferta/olsza-kawalerka-do-remontu-mpec-ID44s4I.html#de3f47c1fe;2020-02-15 13:29:14.722105
Mieszkanie 46m Adama Bochenka od WŁAŚCICIELA;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;446 000 zł;46 m²;9 696 zł/m²;https://www.otodom.pl/oferta/mieszkanie-46m-adama-bochenka-od-wlasciciela-ID44FtY.html#de3f47c1fe;2020-02-15 13:29:14.722105
Stare Miasto - gotowa kawalerka pod wynajem;Kraków , Stare Miasto;1 pokój;379 000 zł;27,83 m²;13 618 zł/m²;https://www.otodom.pl/oferta/stare-miasto-gotowa-kawalerka-pod-wynajem-ID3NZ3q.html#de3f47c1fe;2020-02-15 13:29:14.722105
Mieszkanie 2 pokoje, Mistrzejowice, TBS;Kraków , Mistrzejowice;2 pokoje;150 000 zł;41 m²;3 659 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-mistrzejowice-tbs-ID44HDY.html#de3f47c1fe;2020-02-15 13:29:14.722105
Prywatne Komuny Paryskiej nr 42.;Kraków , Swoszowice;6 pokoi;950 000 zł;174 m²;5 460 zł/m²;https://www.otodom.pl/oferta/prywatne-komuny-paryskiej-nr-42-ID42deE.html#bcc2421ba9;2020-02-15 13:29:15.382469
3 pokoje na Klinach w super cenie;Kraków , Dębniki, Kliny-Zacisze;3 pokoje;382 000 zł;56,51 m²;6 760 zł/m²;https://www.otodom.pl/oferta/3-pokoje-na-klinach-w-super-cenie-ID43GlA.html#bcc2421ba9;2020-02-15 13:29:15.386469
Kraków, Centrum: 3-pokoje, 63m2, wysoki standard;Kraków , Stare Miasto;3 pokoje;540 000 zł;63 m²;8 571 zł/m²;https://www.otodom.pl/oferta/krakow-centrum-3-pokoje-63m2-wysoki-standard-ID43BUu.html#bcc2421ba9;2020-02-15 13:29:15.386469
Rozkładowe, wykończone mieszkanie;Kraków , Stare Miasto;2 pokoje;420 000 zł;44,50 m²;9 438 zł/m²;https://www.otodom.pl/oferta/rozkladowe-wykonczone-mieszkanie-ID44sOo.html#bcc2421ba9;2020-02-15 13:29:15.386469
79m2 3pok z z garażem i piwnicą -Dobrego Pasterza;Kraków , Prądnik Czerwony;3 pokoje;620 000 zł;79 m²;7 848 zł/m²;https://www.otodom.pl/oferta/79m2-3pok-z-z-garazem-i-piwnica-dobrego-pasterza-ID43OY6.html#bcc2421ba9;2020-02-15 13:29:15.386469
3pok mieszkanie blisko Dworca Głównego Ariańska;Kraków , Śródmieście;3 pokoje;560 000 zł;64 m²;8 750 zł/m²;https://www.otodom.pl/oferta/3pok-mieszkanie-blisko-dworca-glownego-arianska-ID43OXZ.html#bcc2421ba9;2020-02-15 13:29:15.386469
Meissnera 3 pok 59m2 od strony skweru;Kraków , małopolskie;3 pokoje;539 000 zł;59,30 m²;9 089 zł/m²;https://www.otodom.pl/oferta/meissnera-3-pok-59m2-od-strony-skweru-ID44h4p.html#bcc2421ba9;2020-02-15 13:29:15.386469
Atrakcyjne 2-pok Bronowice Wielkie garaż;Kraków , Prądnik Biały, Bronowice Wielkie;2 pokoje;419 000 zł;41 m²;10 220 zł/m²;https://www.otodom.pl/oferta/atrakcyjne-2-pok-bronowice-wielkie-garaz-ID44naw.html#bcc2421ba9;2020-02-15 13:29:15.386469
Apartament ze spektakularną panoramą Krakowa.;Kraków , Dębniki, Ruczaj;4 pokoje;1 100 000 zł;103 m²;10 680 zł/m²;https://www.otodom.pl/oferta/apartament-ze-spektakularna-panorama-krakowa-ID44dd2.html#bcc2421ba9;2020-02-15 13:29:15.386469
Otwarte na zmiany M4 szuka rodziny.;Kraków , Prądnik Czerwony;4 pokoje;699 000 zł;103 m²;6 786 zł/m²;https://www.otodom.pl/oferta/otwarte-na-zmiany-m4-szuka-rodziny-ID43IZL.html#bcc2421ba9;2020-02-15 13:29:15.386469
Mieszkanie do wprowadzenia - Rondo Matecznego;Kraków , Podgórze;1 pokój;369 900 zł;30 m²;12 330 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#bcc2421ba9;2020-02-15 13:29:15.386469
Oferta od Właściciela - Stan Deweloperski;Kraków , Prądnik Biały;4 pokoje;499 000 zł;77 m²;6 481 zł/m²;https://www.otodom.pl/oferta/oferta-od-wlasciciela-stan-deweloperski-ID44HCy.html#bcc2421ba9;2020-02-15 13:29:15.386469
SKAWIŃSKA Kawalerka BALKON kamienica po remoncie!;Kraków , Stare Miasto;1 pokój;455 000 zł;26,98 m²;16 864 zł/m²;https://www.otodom.pl/oferta/skawinska-kawalerka-balkon-kamienica-po-remoncie-ID4412y.html#bcc2421ba9;2020-02-15 13:29:15.386469
ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Kraków , Prądnik Biały;3 pokoje;409 000 zł;57,60 m²;7 101 zł/m²;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#bcc2421ba9;2020-02-15 13:29:15.386469
Drugi Etap! Zielonki- KrK!! POPIELATE WZGÓRZA 2.0!;Kraków , Prądnik Biały;3 pokoje;429 000 zł;63,50 m²;6 756 zł/m²;https://www.otodom.pl/oferta/drugi-etap-zielonki-krk-popielate-wzgorza-2-0-ID3DRyU.html#bcc2421ba9;2020-02-15 13:29:15.386469
5 Pokoi 113m2 + balkon | Stare Miasto | Sebastiana;Kraków , Stare Miasto;5 pokoi;1 149 000 zł;100,60 m²;11 421 zł/m²;https://www.otodom.pl/oferta/5-pokoi-113m2-balkon-stare-miasto-sebastiana-ID43yk6.html#bcc2421ba9;2020-02-15 13:29:15.386469
5 Pokoi 113m2 + balkon | Stare Miasto | Sebastiana;Kraków , Stare Miasto;4 pokoje;1 149 000 zł;100,57 m²;11 425 zł/m²;https://www.otodom.pl/oferta/5-pokoi-113m2-balkon-stare-miasto-sebastiana-ID426gm.html#bcc2421ba9;2020-02-15 13:29:15.386469
Mieszkanie 2 pokoje 55m2 widok na panorame miasta;Kraków , Krowodrza;2 pokoje;499 000 zł;54,90 m²;9 089 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-55m2-widok-na-panorame-miasta-ID44HB3.html#bcc2421ba9;2020-02-15 13:29:15.386469
Apartament dwupoziomowy przy Lesie Borkowskim.;Kraków , Swoszowice;4 pokoje;585 000 zł;100 m²;5 850 zł/m²;https://www.otodom.pl/oferta/apartament-dwupoziomowy-przy-lesie-borkowskim-ID44HB4.html#bcc2421ba9;2020-02-15 13:29:15.386469
Do odświeżenia-3 pokoje-52m2-Barska-Dębniki;Kraków , Dębniki;3 pokoje;459 000 zł;52 m²;8 827 zł/m²;https://www.otodom.pl/oferta/do-odswiezenia-3-pokoje-52m2-barska-debniki-ID44HAD.html#bcc2421ba9;2020-02-15 13:29:15.386469
Zamieszkaj w najlepszym miejscu w mieście.;Kraków , Śródmieście;2 pokoje;920 000 zł;60 m²;15 333 zł/m²;https://www.otodom.pl/oferta/zamieszkaj-w-najlepszym-miejscu-w-miescie-ID43jrx.html#bcc2421ba9;2020-02-15 13:29:15.386469
3 pokoje z dużym ogrodem;Kraków , Łagiewniki-Borek Fałęcki;3 pokoje;659 000 zł;78,50 m²;8 395 zł/m²;https://www.otodom.pl/oferta/3-pokoje-z-duzym-ogrodem-ID43qcx.html#bcc2421ba9;2020-02-15 13:29:15.386469
3 pokoje z dużym tarasem na Ruczaju;Kraków , Dębniki, Ruczaj;3 pokoje;790 000 zł;79 m²;10 000 zł/m²;https://www.otodom.pl/oferta/3-pokoje-z-duzym-tarasem-na-ruczaju-ID440cz.html#bcc2421ba9;2020-02-15 13:29:15.386469
Przestronny apartament dla rodziny;Kraków , Dębniki;4 pokoje;959 000 zł;120 m²;7 992 zł/m²;https://www.otodom.pl/oferta/przestronny-apartament-dla-rodziny-ID448M4.html#bcc2421ba9;2020-02-15 13:29:15.386469
3 pokoje na Zabłociu;Kraków , Podgórze;3 pokoje;997 000 zł;75 m²;13 293 zł/m²;https://www.otodom.pl/oferta/3-pokoje-na-zablociu-ID44njI.html#bcc2421ba9;2020-02-15 13:29:15.386469
Mieszkanie z tarasem na Starym Mieście!!!;Kraków , Stare Miasto;4 pokoje;1 690 000 zł;130 m²;13 000 zł/m²;https://www.otodom.pl/oferta/mieszkanie-z-tarasem-na-starym-miescie-ID44pAy.html#bcc2421ba9;2020-02-15 13:29:15.386469
Wiślane Tarasy-Apartament 82,6m2-3 pok.-2 balkony;Kraków , Śródmieście;3 pokoje;1 239 000 zł;82,60 m²;15 000 zł/m²;https://www.otodom.pl/oferta/wislane-tarasy-apartament-82-6m2-3-pok-2-balkony-ID44HA0.html#bcc2421ba9;2020-02-15 13:29:15.386469
Apartament nad wodą w Bronowicach;Kraków , Bronowice;3 pokoje;462 000 zł;56 m²;8 250 zł/m²;https://www.otodom.pl/oferta/apartament-nad-woda-w-bronowicach-ID44qBq.html#de3f47c1fe;2020-02-15 13:32:04.607008
Mieszkanie, 55,24 m², Kraków;Kraków , Podgórze;2 pokoje;389 000 zł;55,24 m²;7 042 zł/m²;https://www.otodom.pl/oferta/mieszkanie-55-24-m-krakow-ID44lI3.html#de3f47c1fe;2020-02-15 13:32:04.607008
Mieszkanie, 62,22 m², Kraków;Kraków , Dębniki;3 pokoje;555 000 zł;62,22 m²;8 920 zł/m²;https://www.otodom.pl/oferta/mieszkanie-62-22-m-krakow-ID42Onc.html#de3f47c1fe;2020-02-15 13:32:04.607008
*Nowa INWESTYCJA*Świetna lokalizacja!! Łagiewniki;Kraków , Łagiewniki-Borek Fałęcki;1 pokój;327 000 zł;34,41 m²;9 503 zł/m²;https://www.otodom.pl/oferta/nowa-inwestycjaswietna-lokalizacja-lagiewniki-ID41a9J.html#de3f47c1fe;2020-02-15 13:32:04.607008
MISTRZEJOWICE-2pok.pełna infrastruktura!0%PROWIZJI;Kraków , Mistrzejowice;2 pokoje;341 700 zł;50,25 m²;6 800 zł/m²;https://www.otodom.pl/oferta/mistrzejowice-2pok-pelna-infrastruktura-0-prowizji-ID43wn9.html#de3f47c1fe;2020-02-15 13:32:04.607008
Dwa pokoje Kraków-Dębniki-Ruczaj;Kraków , Dębniki;2 pokoje;330 000 zł;37,78 m²;8 735 zł/m²;https://www.otodom.pl/oferta/dwa-pokoje-krakow-debniki-ruczaj-ID41VbZ.html#de3f47c1fe;2020-02-15 13:32:04.607008
Wyjątkowy przestronny apartament Bieńczyce 135m2;Kraków , Bieńczyce;5 pokoi;695 000 zł;135 m²;5 148 zł/m²;https://www.otodom.pl/oferta/wyjatkowy-przestronny-apartament-bienczyce-135m2-ID43hxT.html#de3f47c1fe;2020-02-15 13:32:04.607008
40m2 2 osobne pokoje miejsce parkingowe Prądnik;Kraków , Prądnik Biały;2 pokoje;420 000 zł;40 m²;10 500 zł/m²;https://www.otodom.pl/oferta/40m2-2-osobne-pokoje-miejsce-parkingowe-pradnik-ID44HJ8.html#de3f47c1fe;2020-02-15 13:32:04.607008
Mieszkanie, Kraków Chełmońskiego;Kraków , Bronowice, Bronowice Małe;2 pokoje;550 000 zł;46,30 m²;11 879 zł/m²;https://www.otodom.pl/oferta/mieszkanie-krakow-chelmonskiego-ID44BIh.html#de3f47c1fe;2020-02-15 13:32:04.608037
urządzone 2 pokoje, 46m, Nowa Huta;Kraków , Nowa Huta;2 pokoje;380 000 zł;46 m²;8 261 zł/m²;https://www.otodom.pl/oferta/urzadzone-2-pokoje-46m-nowa-huta-ID44HIU.html#de3f47c1fe;2020-02-15 13:32:04.608037
Inwestuj I Zarabiaj;Kraków , Dębniki;5 pokoi;630 000 zł;50,81 m²;12 399 zł/m²;https://www.otodom.pl/oferta/inwestuj-i-zarabiaj-ID44HIP.html#de3f47c1fe;2020-02-15 13:32:04.608037
2-pokojowe z balkonem i garażem ul. Marchołta;Kraków , Prądnik Czerwony;2 pokoje;430 000 zł;42,20 m²;10 190 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-z-balkonem-i-garazem-ul-marcholta-ID44HHY.html#de3f47c1fe;2020-02-15 13:32:04.608037
Trzy pokoje, 62m, Prądnik Biały, Kraków;Kraków , Prądnik Biały;3 pokoje;579 000 zł;61,32 m²;9 442 zł/m²;https://www.otodom.pl/oferta/trzy-pokoje-62m-pradnik-bialy-krakow-ID44Brz.html#de3f47c1fe;2020-02-15 13:32:04.608037
SPRZEDAŻ mieszkania 47m2 (Żywiecka) BEZPOŚREDNIO;Kraków , Łagiewniki-Borek Fałęcki, Borek Fałęcki;2 pokoje;373 000 zł;47 m²;7 936 zł/m²;https://www.otodom.pl/oferta/sprzedaz-mieszkania-47m2-zywiecka-bezposrednio-ID43HTR.html#de3f47c1fe;2020-02-15 13:32:04.608037
3-pokojowe mieszkanie po generalnym remoncie,Dąbie;Kraków , Grzegórzki, Dąbie;3 pokoje;498 500 zł;47,80 m²;10 429 zł/m²;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-po-generalnym-remoncie-dabie-ID44HHE.html#de3f47c1fe;2020-02-15 13:32:04.608037
Mistrzejowice - taras, 69m, 3-pok. do wejścia;Kraków , Mistrzejowice;3 pokoje;640 000 zł;69 m²;9 275 zł/m²;https://www.otodom.pl/oferta/mistrzejowice-taras-69m-3-pok-do-wejscia-ID44u0D.html#de3f47c1fe;2020-02-15 13:32:04.608037
BEZPOŚREDNIO od dewelopera!;Kraków , Prądnik Biały, Tonie;3 pokoje;370 000 zł;76 m²;4 868 zł/m²;https://www.otodom.pl/oferta/bezposrednio-od-dewelopera-ID3XYOc.html#de3f47c1fe;2020-02-15 13:32:04.608037
Kawalerka po remoncie wysoki standard Centrum;Kraków , Krowodrza;1 pokój;338 000 zł;21 m²;16 095 zł/m²;https://www.otodom.pl/oferta/kawalerka-po-remoncie-wysoki-standard-centrum-ID44sXt.html#de3f47c1fe;2020-02-15 13:32:04.608037
Sprzedam kawalerkę;Kraków , Grzegórzki, Olsza;1 pokój;289 000 zł;25 m²;11 560 zł/m²;https://www.otodom.pl/oferta/sprzedam-kawalerke-ID44HGf.html#de3f47c1fe;2020-02-15 13:32:04.608037
Kawalerka, 28m2, Kraków Kliny ul. Borkowska, 2010r;Kraków , Dębniki, Kliny-Zacisze;1 pokój;255 000 zł;28 m²;9 107 zł/m²;https://www.otodom.pl/oferta/kawalerka-28m2-krakow-kliny-ul-borkowska-2010r-ID44HFH.html#de3f47c1fe;2020-02-15 13:32:04.608037
Kraków Mistrzejowice os. Oświecenia 68m2 +Balkon;Kraków , Mistrzejowice;3 pokoje;487 000 zł;68 m²;7 162 zł/m²;https://www.otodom.pl/oferta/krakow-mistrzejowice-os-oswiecenia-68m2-balkon-ID43pbk.html#de3f47c1fe;2020-02-15 13:32:04.608037
