Bezpośrednio sprzedam Kazimierz. 3 pokoje 60m2;Kraków , Stare Miasto, Kazimierz;3 pokoje;699 000 zł;60 m²;11 650 zł/m²;https://www.otodom.pl/oferta/bezposrednio-sprzedam-kazimierz-3-pokoje-60m2-ID43yTF.html#de3f47c1fe;2020-02-21 16:09:27.961759
2 pokoje na Płaszowie bez pośrednio nowy blok;Kraków , Podgórze, Płaszów;2 pokoje;355 000 zł;35 m²;10 143 zł/m²;https://www.otodom.pl/oferta/2-pokoje-na-plaszowie-bez-posrednio-nowy-blok-ID44E14.html#de3f47c1fe;2020-02-21 16:09:27.961759
Przytulne dwa pokoje z ogródkiem, Rakowicka 35m2;Kraków , Stare Miasto;2 pokoje;512 000 zł;35 m²;14 629 zł/m²;https://www.otodom.pl/oferta/przytulne-dwa-pokoje-z-ogrodkiem-rakowicka-35m2-ID44d0h.html#de3f47c1fe;2020-02-21 16:09:27.961759
Słoneczne mieszkanie z tarasem i własnym ogródkiem;Kraków , Swoszowice;2 pokoje;450 000 zł;51,43 m²;8 750 zł/m²;https://www.otodom.pl/oferta/sloneczne-mieszkanie-z-tarasem-i-wlasnym-ogrodkiem-ID44E2W.html#de3f47c1fe;2020-02-21 16:09:27.961759
Mieszkanie w świetnej lokalizacji;Kraków , Bieżanów-Prokocim, Bieżanów;3 pokoje;310 921 zł;48,51 m²;6 409 zł/m²;https://www.otodom.pl/oferta/mieszkanie-w-swietnej-lokalizacji-ID44lrW.html#de3f47c1fe;2020-02-21 16:09:27.961759
Mazowiecka, 2 niezależne pok, MPEC, balkon;Kraków , Krowodrza;2 pokoje;399 000 zł;34 m²;11 735 zł/m²;https://www.otodom.pl/oferta/mazowiecka-2-niezalezne-pok-mpec-balkon-ID44NPO.html#de3f47c1fe;2020-02-21 16:09:27.961759
Mieszkanie 4 pokojowe z ogródkiem !;Kraków , Podgórze Duchackie, Kurdwanów;4 pokoje;459 540 zł;62,10 m²;7 400 zł/m²;https://www.otodom.pl/oferta/mieszkanie-4-pokojowe-z-ogrodkiem-ID44NPg.html#de3f47c1fe;2020-02-21 16:09:27.961759
OKAZJA/2 pok/35,60/loggia/ul.Banacha/Prądnik Biały;Kraków , Prądnik Biały;2 pokoje;309 096,94 zł;35,60 m²;8 682 zł/m²;https://www.otodom.pl/oferta/okazja-2-pok-35-60-loggia-ul-banacha-pradnik-bialy-ID44LB1.html#de3f47c1fe;2020-02-21 16:09:27.961759
Mieszkanie 4 pokojowe 2 - poziomowe;Kraków , Nowa Huta, Czyżyny;4 pokoje;615 000 zł;91 m²;6 758 zł/m²;https://www.otodom.pl/oferta/mieszkanie-4-pokojowe-2-poziomowe-ID44NOO.html#de3f47c1fe;2020-02-21 16:09:27.961759
Mieszkanie, 46,36 m², Kraków;Kraków , Grzegórzki;1 pokój;496 052 zł;46,36 m²;10 700 zł/m²;https://www.otodom.pl/oferta/mieszkanie-46-36-m-krakow-ID44NON.html#de3f47c1fe;2020-02-21 16:09:27.961759
