,variable,linreg,variable,ridge,variable,lasso_CV
0,dst_center,-1136.147701106305,dst_center,-1148.0573534845073,dst_center,-1230.8733929827536
1,metraz,-852.7434748917032,metraz,-729.6919919423812,metraz,-742.9593744918735
2,rok_bud,218.73059010511406,rok_bud,-45.78422159257605,rok_bud,0.0
3,pietro,-118.9983767147695,pietro,-95.72741008737343,pietro,-151.49793808455098
4,l_pieter,82.94141336114065,l_pieter,112.23181712667376,l_pieter,115.80509022920673
5,vist_dist,-1306.4590079521272,vist_dist,-1351.9028544853934,vist_dist,-882.5939455346804
6,trams_dist,724.0786375790078,trams_dist,631.154977974078,trams_dist,406.6375040482041
7,parks,362.46900945660445,parks,296.71868719838096,parks,245.20477361269258
