;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist;cena_za_metr2
816;3 pokojowe mieszkanie, Prądnik Biały;Kraków , Prądnik Biały;3 pokoje;425000.0;52.0;8173.0;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-pradnik-bialy-ID44J39.html#51e2ab8c8f;2020-02-17 17:59:16.947743;Prądnika;Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.095522499999994;19.9283169;0.0;POINT (566377.4070532473 247998.494282363);3900;4500.190004030558;779.7765063144484;8173.0
817;Mieszkanie, 44,37 m², Kraków;Kraków , małopolskie;2 pokoje;399000.0;44.37;8993.0;https://www.otodom.pl/oferta/mieszkanie-44-37-m-krakow-ID44J35.html#51e2ab8c8f;2020-02-17 17:59:16.947743;"""Kraków""";"Kraków , małopolskie, ""Kraków""";Kraków, województwo małopolskie, Polska;(50.0619474, 19.9368564, 0.0);50.0619474;19.9368564;0.0;POINT (567034.7997178583 244274.2426178176);133;872.2474472817381;319.62554019029886;8993.0
818;Zielona i spokojna dzielnica, dobra komunikacja;Kraków , małopolskie;3 pokoje;338644.0;48.33;7007.0;https://www.otodom.pl/oferta/zielona-i-spokojna-dzielnica-dobra-komunikacja-ID44J2N.html#51e2ab8c8f;2020-02-17 17:59:16.947743;Zielna;Kraków , małopolskie, Zielna;Zielna, Zakrzówek, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-321, Polska;(50.0444979, 19.9134922, 0.0);50.044497899999996;19.9134922;0.0;POINT (565386.7567641184 242314.0353838205);2535;588.2902696717944;612.1696391951407;7007.0
819;Nowa Cena! Mieszkanie na Kazimierzu;Kraków , Stare Miasto, Kazimierz;2 pokoje;599000.0;65.1;9201.0;https://www.otodom.pl/oferta/nowa-cena-mieszkanie-na-kazimierzu-ID43uDj.html#51e2ab8c8f;2020-02-17 17:59:16.949731;Kazimierza;Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.05123070000001;19.9469375;0.0;POINT (567771.2149040747 243092.1779909041);1260;395.9164345055303;147.8382120340047;9201.0
820;Wiślane Tarasy, 2 Pokoje, Balkon, Super Lokalizacj;Kraków , Grzegórzki;2 pokoje;465000.0;31.79;14627.0;https://www.otodom.pl/oferta/wislane-tarasy-2-pokoje-balkon-super-lokalizacj-ID44IZw.html#a4ecda7d5f;2020-02-17 17:59:17.873750;Wiślana;Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423);5368;859.5381344545566;289.27065938745534;14627.0
821;Miechowity, 2 pokoje, 48m2;Kraków , Grzegórzki, Olsza;2 pokoje;420000.0;48.61;8640.0;https://www.otodom.pl/oferta/miechowity-2-pokoje-48m2-ID44IYA.html#a4ecda7d5f;2020-02-17 17:59:17.873750;Miechowity;Kraków , Grzegórzki, Olsza, Miechowity;Miechowity, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0831576, 19.97119811930256, 0.0);50.0831576;19.97119811930256;0.0;POINT (569461.3616915117 246663.1260875212);3418;2757.2470867351913;1394.8030857821245;8640.0
822;Bobrzyńskiego, 2 pokoje, 56m2;Kraków , Dębniki;2 pokoje;655000.0;56.5;11593.0;https://www.otodom.pl/oferta/bobrzynskiego-2-pokoje-56m2-ID44IYr.html#a4ecda7d5f;2020-02-17 17:59:17.873750;Bobrzyńskiego;Kraków , Dębniki, Bobrzyńskiego;Profesora Michała Bobrzyńskiego, Osiedle Ruczaj-Zaborze, Dębniki, Kraków, województwo małopolskie, 30-348, Polska;(50.0251026, 19.9027481, 0.0);50.025102600000004;19.902748100000004;0.0;POINT (564643.7522605957 240148.9137319289);4719;1526.8054903771717;62.5750469507241;11593.0
823;Bezpośrednio• Topolowa• Inwestycyjne• Krótki najem;Kraków , Stare Miasto;2 pokoje;524000.0;35.1;14929.0;https://www.otodom.pl/oferta/bezposrednio-topolowa-inwestycyjne-krotki-najem-ID44IVT.html#a4ecda7d5f;2020-02-17 17:59:17.874748;Topolowa;Kraków , Stare Miasto, Topolowa;Topolowa, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-508, Polska;(50.0672614, 19.9504819, 0.0);50.0672614;19.9504819;0.0;POINT (568002.2146182249 244877.2053202465);1131;1723.6395502986272;127.39078520173733;14929.0
824;Prądnik Biały, Park Dorożki. Standard Deweloperski;Kraków , Prądnik Biały;2 pokoje;382862.0;40.73;9400.0;https://www.otodom.pl/oferta/pradnik-bialy-park-dorozki-standard-deweloperski-ID44IWq.html#a4ecda7d5f;2020-02-17 17:59:17.874748;Prądnika;Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.095522499999994;19.9283169;0.0;POINT (566377.4070532473 247998.494282363);3900;4500.190004030558;779.7765063144484;9400.0
825;2 pokoje* 52m2* Os. Szkolne* Po Remoncie*;Kraków , Nowa Huta;2 pokoje;390000.0;52.0;7500.0;https://www.otodom.pl/oferta/2-pokoje-52m2-os-szkolne-po-remoncie-ID44IUJ.html#a4ecda7d5f;2020-02-17 17:59:17.874748;Szkolne;Kraków , Nowa Huta, Szkolne;Osiedle Szkolne, Osiedle Na Skarpie, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 32-977, Polska;(50.0774958, 20.0482373, 0.0);50.0774958;20.048237300000004;0.0;POINT (574980.0319449961 246108.3005765826);8079;2775.5565187985053;293.43741704568305;7500.0
