;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
85 m²;4 pok mieszkanie w Dębnikach 85 mkw za 590 000 zł!;Kraków , Podgórze;4 pokoje;590000.0;85.0;6941.0;https://www.otodom.pl/oferta/4-pok-mieszkanie-w-debnikach-85-mkw-za-590-000-zl-ID44NZc.html#a613ca9287;2020-02-23 10:13:52.839893;1.0;4.0;1970.0;Dębnicka;Kraków , Podgórze, Dębnicka;Dębnicka, Dębniki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-324, Polska;(50.0486355, 19.9229271, 0.0);50.0486355;19.9229271;0.0;POINT (566056.4070851903 242782.2246920913)
59 m²;Angel City ul. Pawia / ul. Szlak 2 pokoje;Kraków , Stare Miasto;2 pokoje;700000.0;59.0;11864.0;https://www.otodom.pl/oferta/angel-city-ul-pawia-ul-szlak-2-pokoje-ID44Dgp.html#1797ff2c09;2020-02-23 10:13:57.012826;1.0;5.0;2009.0;Pawia;Kraków , Stare Miasto, Pawia;Pawia, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-154, Polska;(50.0691779, 19.9451093, 0.0);50.0691779;19.9451093;0.0;POINT (567615.1434787014 245085.3479808709)
56 m²;Ładne mieszkanie 56 mkw przy Parku Wyspiańskiego!;Kraków , Krowodrza;5 pokoi;519000.0;56.0;9268.0;https://www.otodom.pl/oferta/ladne-mieszkanie-56-mkw-przy-parku-wyspianskiego-ID44NZ8.html#1797ff2c09;2020-02-23 10:13:59.326108;9.0;10.0;1980.0;Wyspiańskiego;Kraków , Krowodrza, Wyspiańskiego;Stanisława Wyspiańskiego, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-035, Polska;(50.0729261, 19.9254295, 0.0);50.0729261;19.9254295;0.0;POINT (566202.0695347141 245484.3358220262)
23,43 m²;Kazimierz | Sprzedaż mieszkań na krótki wynajem;Kraków , Stare Miasto, Kazimierz;1 pokój;563070.37;23.43;24032.0;https://www.otodom.pl/oferta/kazimierz-sprzedaz-mieszkan-na-krotki-wynajem-ID44z5G.html#1797ff2c09;2020-02-23 10:14:00.496249;3.0;4.0;2019.0;Kazimierza;Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022)
33,16 m²;Atrakcyjna kawalerka z tarasem, ul. Sosnowiecka;Kraków , Prądnik Biały, Bronowice Wielkie;1 pokój;362000.0;33.16;10917.0;https://www.otodom.pl/oferta/atrakcyjna-kawalerka-z-tarasem-ul-sosnowiecka-ID44KuW.html#1797ff2c09;2020-02-23 10:14:04.821326;2.0;3.0;2016.0;Sosnowiecka;Kraków , Prądnik Biały, Bronowice Wielkie, Sosnowiecka;Sosnowiecka, Bronowice Wielkie, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 31-345, Polska;(50.092531, 19.8931526, 0.0);50.092531;19.8931526;0.0;POINT (563867.0684092317 247635.3261533063)
35 m²;Przytulne dwa pokoje z ogródkiem, Rakowicka 35m2;Kraków , Stare Miasto;2 pokoje;512000.0;35.0;14629.0;https://www.otodom.pl/oferta/przytulne-dwa-pokoje-z-ogrodkiem-rakowicka-35m2-ID44d0h.html#1797ff2c09;2020-02-23 10:14:05.668006;0.0;4.0;2018.0;Rakowicka;Kraków , Stare Miasto, Rakowicka;Rakowicka, Warszawskie, Grzegórzki, Delegatura Kraków-Śródmieście, Kraków, województwo małopolskie, 31-520, Polska;(50.0751438, 19.9577519, 0.0);50.0751438;19.9577519;0.0;POINT (568511.1065507758 245759.9750759406)
45 m²;Bieńczyce - 3 pokoje do wejścia, balkon;Kraków , Bieńczyce;3 pokoje;385000.0;45.0;8556.0;https://www.otodom.pl/oferta/bienczyce-3-pokoje-do-wejscia-balkon-ID44NYd.html#1797ff2c09;2020-02-23 10:14:07.516410;9.0;10.0;1980.0;Bieńczycka;Kraków , Bieńczyce, Bieńczycka;Bieńczycka, Osiedle Drugiego Pułku Lotniczego, Bieńczyce, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 31-944, Polska;(50.0786883, 20.0258597, 0.0);50.0786883;20.0258597;0.0;POINT (573377.5804436035 246218.6255630124)
163 m²;4 pok 163m2 Kobierzyńska/ Ruczaj 798.000,-;Kraków , Dębniki, Ruczaj;4 pokoje;790000.0;163.0;4847.0;https://www.otodom.pl/oferta/4-pok-163m2-kobierzynska-ruczaj-798-000-ID3Rjnq.html#1797ff2c09;2020-02-23 10:14:10.482605;4.0;5.0;1998.0;Kobierzyńska;Kraków , Dębniki, Ruczaj, Kobierzyńska;Kobierzyńska, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-343, Polska;(50.0293863, 19.9185049, 0.0);50.0293863;19.9185049;0.0;POINT (565766.1945891131 240638.7870270088)
54,90 m²;60 m2 Prądnik Biały po generalnym remoncie;Kraków , Prądnik Biały;2 pokoje;499000.0;54.9;9089.0;https://www.otodom.pl/oferta/60-m2-pradnik-bialy-po-generalnym-remoncie-ID44DFX.html#1797ff2c09;2020-02-23 10:14:14.697064;10.0;11.0;1992.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
32 m²;Kawalerka inwestycyjna - Retoryka - 32m2;Kraków , Stare Miasto;1 pokój;464000.0;32.0;14500.0;https://www.otodom.pl/oferta/kawalerka-inwestycyjna-retoryka-32m2-ID42G8S.html#1797ff2c09;2020-02-23 10:14:19.287490;1.0;2.0;1896.0;Retoryka;Kraków , Stare Miasto, Retoryka;Retoryka, Nowy Świat, Stare Miasto, Kraków, województwo małopolskie, 31-100, Polska;(50.0580096, 19.9284227, 0.0);50.0580096;19.9284227;0.0;POINT (566436.7914722664 243829.0247966191)
26 m²;Kawalerka, 4/4 , 26m Strusia Bieńczyce Kraków;Kraków , Bieńczyce;1 pokój;266000.0;26.0;10231.0;https://www.otodom.pl/oferta/kawalerka-4-4-26m-strusia-bienczyce-krakow-ID44AwD.html#1797ff2c09;2020-02-23 10:14:22.058992;4.0;4.0;1970.0;Strusia;Kraków , Bieńczyce, Strusia;Osiedle Józefa Strusia, Bieńczyce, Kraków, województwo małopolskie, Polska;(50.08848715, 20.009869196375526, 0.0);50.08848715;20.009869196375526;0.0;POINT (572219.1093478991 247292.180990384)
43,60 m²;2-Pokoje 43,6m2 ul.Kwartowa;Kraków , Prądnik Czerwony;2 pokoje;307000.0;43.6;7041.0;https://www.otodom.pl/oferta/2-pokoje-43-6m2-ul-kwartowa-ID445zR.html#83328eeb52;2020-02-23 10:14:29.847644;0.0;3.0;2000.0;Kwartowa;Kraków , Prądnik Czerwony, Kwartowa;Kwartowa, Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, 31-417, Polska;(50.0905573, 19.9791104, 0.0);50.0905573;19.9791104;0.0;POINT (570016.4672081282 247492.9905610597)
93,09 m²;Apartament 4 pokoje garaż Norymberska Zakrzówek;Kraków , Podgórze;4 pokoje;780000.0;93.09;8379.0;https://www.otodom.pl/oferta/apartament-4-pokoje-garaz-norymberska-zakrzowek-ID44NUX.html#83328eeb52;2020-02-23 10:14:31.218939;3.0;4.0;2009.0;Norymberska;Kraków , Podgórze, Norymberska;Norymberska, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-358, Polska;(50.0303992, 19.912374, 0.0);50.0303992;19.912374;0.0;POINT (565325.8462536619 240745.9946237197)
50 m²;2 pokoje, 50,5 m2, os. Słoneczne;Kraków , Nowa Huta;2 pokoje;369000.0;50.0;7380.0;https://www.otodom.pl/oferta/2-pokoje-50-5-m2-os-sloneczne-ID44LFq.html#83328eeb52;2020-02-23 10:14:38.835902;1.0;3.0;1953.0;Słoneczne;Kraków , Nowa Huta, Słoneczne;Osiedle Słoneczne, Nowa Huta, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 31-956, Polska;(50.0776057, 20.0420898, 0.0);50.0776057;20.0420898;0.0;POINT (574540.1416298144 246114.3636779059)
56,40 m²;W pełni wyposażone mieszkanie 5 pokoi ul.Łokietka;Kraków , Krowodrza;5 pokoi;519000.0;56.4;9202.0;https://www.otodom.pl/oferta/w-pelni-wyposazone-mieszkanie-5-pokoi-ul-lokietka-ID44NRu.html#83328eeb52;2020-02-23 10:14:40.003461;9.0;10.0;1983.0;Łokietka;Kraków , Krowodrza, Łokietka;Łokietka, Władysława Łokietka, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-279, Polska;(50.085377, 19.9235123, 0.0);50.085377;19.9235123;0.0;POINT (566047.8126358264 246866.5586777506)
51,43 m²;Słoneczne mieszkanie z tarasem i własnym ogródkiem;Kraków , Swoszowice;2 pokoje;450000.0;51.43;8750.0;https://www.otodom.pl/oferta/sloneczne-mieszkanie-z-tarasem-i-wlasnym-ogrodkiem-ID44E2W.html#83328eeb52;2020-02-23 10:14:41.030727;0.0;2.0;2009.0;Słoneczne;Kraków , Swoszowice, Słoneczne;FUP Kraków 11, Wojciecha Marii Bartla, Kobierzyn, Dębniki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-389, Polska;(49.9988969, 19.8958089, 0.0);49.9988969;19.8958089;0.0;POINT (564181.7536297874 237230.1971481992)
67 m²;Apartament M4 z ogrodem 126m2 Grzegórzki;Kraków , Śródmieście;4 pokoje;890000.0;67.0;13284.0;https://www.otodom.pl/oferta/apartament-m4-z-ogrodem-126m2-grzegorzki-ID44p9T.html#83328eeb52;2020-02-23 10:14:51.063150;0.0;4.0;2018.0;Grzegórzecka;Kraków , Śródmieście, Grzegórzecka;Grzegórzecka, Grzegórzki, Kraków, województwo małopolskie, 31-530, Polska;(50.0584904, 19.9484655, 0.0);50.0584904;19.9484655;0.0;POINT (567870.3287445118 243900.4775479082)
28,20 m²;Nowe 1 pok. mieszkanie Bronowice;Kraków , Bronowice, Bronowice Małe;1 pokój;390000.0;28.2;13830.0;https://www.otodom.pl/oferta/nowe-1-pok-mieszkanie-bronowice-ID44iWY.html#83328eeb52;2020-02-23 10:14:57.669569;3.0;3.0;2018.0;Bronowicka;Kraków , Bronowice, Bronowice Małe, Bronowicka;Bronowicka, Bronowice Małe, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 30-139, Polska;(50.0816928, 19.8902943, 0.0);50.0816928;19.8902943;0.0;POINT (563677.0404730459 246428.2142655198)
61,32 m²;Trzy pokoje, 62m, Prądnik Biały, Kraków;Kraków , Prądnik Biały;3 pokoje;579000.0;61.32;9442.0;https://www.otodom.pl/oferta/trzy-pokoje-62m-pradnik-bialy-krakow-ID44Brz.html#de3f47c1fe;2020-02-23 10:22:50.037563;1.0;2.0;2009.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
50 m²;Gotowe mieszkanie |Kraków |Pachońskiego |Bezpośred;Kraków , Prądnik Biały;3 pokoje;425000.0;50.0;8500.0;https://www.otodom.pl/oferta/gotowe-mieszkanie-krakow-pachonskiego-bezposred-ID44nrS.html#de3f47c1fe;2020-02-23 10:22:52.859242;0.0;5.0;2019.0;Pachońskiego;Kraków , Prądnik Biały, Pachońskiego;Pachońskiego, Henryka Pachońskiego, Prądnik Biały, Kraków, województwo małopolskie, 31-223, Polska;(50.0952985, 19.9315645, 0.0);50.0952985;19.9315645;0.0;POINT (566609.9270383697 247976.4880002327)
27 m²;Kawalerka, Pachońskiego, gotowa do odbioru.;Kraków , Prądnik Biały;1 pokój;272000.0;27.0;10074.0;https://www.otodom.pl/oferta/kawalerka-pachonskiego-gotowa-do-odbioru-ID43uO2.html#eace19cb28;2020-02-23 10:26:18.526750;1.0;5.0;2019.0;Pachońskiego;Kraków , Prądnik Biały, Pachońskiego;Pachońskiego, Henryka Pachońskiego, Prądnik Biały, Kraków, województwo małopolskie, 31-223, Polska;(50.0952985, 19.9315645, 0.0);50.0952985;19.9315645;0.0;POINT (566609.9270383697 247976.4880002327)
52 m²;Prądnik Biały - 2 pokoje, kameralna okolica;Kraków , Prądnik Biały;2 pokoje;430000.0;52.0;8269.0;https://www.otodom.pl/oferta/pradnik-bialy-2-pokoje-kameralna-okolica-ID44K3L.html#bcc2421ba9;2020-02-23 10:30:48.116989;2.0;4.0;1984.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
73 m²;Kobierzyńska, Ruczaj, 73m2, 3-pok. oferta prywatna;Kraków , Dębniki;3 pokoje;521000.0;73.0;7137.0;https://www.otodom.pl/oferta/kobierzynska-ruczaj-73m2-3-pok-oferta-prywatna-ID43Kax.html#5a3ac0e744;2020-02-23 10:33:04.688590;3.0;3.0;2006.0;Kobierzyńska;Kraków , Dębniki, Kobierzyńska;Kobierzyńska, Zakrzówek, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-349, Polska;(50.0322925, 19.9211953, 0.0);50.0322925;19.9211953;0.0;POINT (565954.8473917976 240964.1794368792)
61,50 m²;Mieszkanie gotowe do zamieszkania przy ul. Fredry;Kraków , Podgórze;3 pokoje;590000.0;61.5;9593.0;https://www.otodom.pl/oferta/mieszkanie-gotowe-do-zamieszkania-przy-ul-fredry-ID44EV8.html#5a3ac0e744;2020-02-23 10:33:05.637140;3.0;3.0;2007.0;Fredry;Kraków , Podgórze, Fredry;Fredry, Aleksandra Fredry, Łagiewniki, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-606, Polska;(50.0207881, 19.942724, 0.0);50.0207881;19.942724;0.0;POINT (567512.3392671184 239704.6923527764)
53,10 m²;3-Pok. Ekskluzywny 53m2 Apartament Przy Plantach;Kraków , Stare Miasto;3 pokoje;650000.0;53.1;12241.0;https://www.otodom.pl/oferta/3-pok-ekskluzywny-53m2-apartament-przy-plantach-ID44aeV.html#eace19cb28;2020-02-23 10:33:40.122575;2.0;4.0;2002.0;Polankach;Kraków , Stare Miasto, Polankach;Na Polankach, Olszanica, Zwierzyniec, Kraków, województwo małopolskie, 30-241, Polska;(50.0691538, 19.8385226, 0.0);50.0691538;19.8385226;0.0;POINT (559989.8340507377 244991.6484853784)
70,40 m²;Mieszkanie 70,40m², Kraków, Wola Duchacka Zachód;Kraków , Podgórze Duchackie, Wola Duchacka;4 pokoje;540000.0;70.4;7670.0;https://www.otodom.pl/oferta/mieszkanie-70-40m-krakow-wola-duchacka-zachod-ID44BlY.html#eace19cb28;2020-02-23 10:33:42.279336;5.0;10.0;1983.0;Duchacka;Kraków , Podgórze Duchackie, Wola Duchacka, Duchacka;Kraków Bonarka, Kładka pieszo-rowerowa, Wola Duchacka, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-416, Polska;(50.0293189, 19.9462275, 0.0);50.0293189;19.9462275;0.0;POINT (567751.2342442736 240656.0522081703)
45 m²;Kozłówek - możliwość zrobienia 3 pokoi, do remontu;Kraków , Bieżanów-Prokocim, Kozłówek;3 pokoje;380000.0;45.0;8444.0;https://www.otodom.pl/oferta/kozlowek-mozliwosc-zrobienia-3-pokoi-do-remontu-ID44CdT.html#1797ff2c09;2020-02-23 10:34:58.524397;0.0;10.0;1985.0;Kozłówce;Kraków , Bieżanów-Prokocim, Kozłówek, Kozłówce;Na Kozłówce, Osiedle Kozłówek, Podgórze Duchackie, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-641, Polska;(50.0211081, 19.9777488, 0.0);50.0211081;19.9777488;0.0;POINT (570020.1025249592 239772.4743337575)
135 m²;Wyjątkowy przestronny apartament Bieńczyce 135m2;Kraków , Bieńczyce;5 pokoi;695000.0;135.0;5148.0;https://www.otodom.pl/oferta/wyjatkowy-przestronny-apartament-bienczyce-135m2-ID43hxT.html#83328eeb52;2020-02-23 10:35:32.049174;1.0;3.0;2019.0;Bieńczycka;Kraków , Bieńczyce, Bieńczycka;Bieńczycka, Osiedle Drugiego Pułku Lotniczego, Bieńczyce, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 31-944, Polska;(50.0786883, 20.0258597, 0.0);50.0786883;20.0258597;0.0;POINT (573377.5804436035 246218.6255630124)
