3-pokojowe mieszkanie w atrakcyjnej lokalizacji;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;422 940 zł;50,35 m²;8 400 zł/m²;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-w-atrakcyjnej-lokalizacji-ID44jZt.html#de3f47c1fe;2020-02-14 16:20:18.535251
Wygodne mieszkanie dla rodziny, 52,17 m2;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;438 228 zł;52,17 m²;8 400 zł/m²;https://www.otodom.pl/oferta/wygodne-mieszkanie-dla-rodziny-52-17-m2-ID44k6b.html#de3f47c1fe;2020-02-14 16:20:18.535251
Funkcjonalne 3 pokojowe mieszkanie - Koszykarska;Mieszkanie na sprzedaż: , Podgórze;3 pokoje;390 000 zł;45,60 m²;8 553 zł/m²;https://www.otodom.pl/oferta/funkcjonalne-3-pokojowe-mieszkanie-koszykarska-ID44p1Q.html#de3f47c1fe;2020-02-14 16:20:18.535251
3 pokoje z ogródkiem blisko Centrum, 56,71 m2;Mieszkanie na sprzedaż: , Bronowice;3 pokoje;395 269 zł;56,71 m²;6 970 zł/m²;https://www.otodom.pl/oferta/3-pokoje-z-ogrodkiem-blisko-centrum-56-71-m2-ID44vG7.html#de3f47c1fe;2020-02-14 16:20:18.535251
2 pokoje dla aktywnych w Centrum Krakowa;Mieszkanie na sprzedaż: , Śródmieście;2 pokoje;367 824 zł;37,92 m²;9 700 zł/m²;https://www.otodom.pl/oferta/2-pokoje-dla-aktywnych-w-centrum-krakowa-ID44dFG.html#de3f47c1fe;2020-02-14 16:20:18.535251
Przestronne wnętrze do swobodnej aranżacji 77,63m2;Mieszkanie na sprzedaż: , Podgórze;5 pokoi;560 000 zł;77,63 m²;7 214 zł/m²;https://www.otodom.pl/oferta/przestronne-wnetrze-do-swobodnej-aranzacji-77-63m2-ID44Drz.html#de3f47c1fe;2020-02-14 16:20:18.535251
Gotowe do zamieszkania/wynajęcia - Podgórze;Mieszkanie na sprzedaż: , Podgórze Duchackie;6 pokoi;660 000 zł;86,85 m²;7 599 zł/m²;https://www.otodom.pl/oferta/gotowe-do-zamieszkania-wynajecia-podgorze-ID44DHb.html#de3f47c1fe;2020-02-14 16:20:18.535251
Mieszkanie lofcik obok Wawelu;Mieszkanie na sprzedaż: , Dębniki;1 pokój;355 000 zł;22,30 m²;15 919 zł/m²;https://www.otodom.pl/oferta/mieszkanie-lofcik-obok-wawelu-ID44wNB.html#bcc2421ba9;2020-02-14 16:20:23.090454
Starowiślna, klimatyczny apartament, piękna kamien;Mieszkanie na sprzedaż: , Stare Miasto;2 pokoje;699 900 zł;60 m²;11 665 zł/m²;https://www.otodom.pl/oferta/starowislna-klimatyczny-apartament-piekna-kamien-ID44t8n.html#bcc2421ba9;2020-02-14 16:20:23.090454
Gotowe do wejścia - trzy pokoje przy pętli !;Mieszkanie na sprzedaż: , Krowodrza;3 pokoje;440 000 zł;51,50 m²;8 544 zł/m²;https://www.otodom.pl/oferta/gotowe-do-wejscia-trzy-pokoje-przy-petli-ID436yA.html#bcc2421ba9;2020-02-14 16:20:23.090454
Jesionova mieszkanie B1M4;Mieszkanie na sprzedaż: , Zwierzyniec;4 pokoje;Zapytaj o cenę;87,67 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-b1m4-ID42gIv.html#bcc2421ba9;2020-02-14 16:20:23.090454
Jesionova mieszkanie B2M5;Mieszkanie na sprzedaż: , Zwierzyniec;4 pokoje;Zapytaj o cenę;92,64 m²;https://www.otodom.pl/oferta/jesionova-mieszkanie-b2m5-ID42gJ1.html#bcc2421ba9;2020-02-14 16:20:23.091451
2 pok z osobną kuchnią ul. Starowiślna.;Mieszkanie na sprzedaż: , Stare Miasto;2 pokoje;595 000 zł;45,80 m²;12 991 zł/m²;https://www.otodom.pl/oferta/2-pok-z-osobna-kuchnia-ul-starowislna-ID449Bi.html#bcc2421ba9;2020-02-14 16:20:23.091451
Nowe 3 pok. mieszkanie - doskonała komunikacja;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;470 993 zł;52,92 m²;8 900 zł/m²;https://www.otodom.pl/oferta/nowe-3-pok-mieszkanie-doskonala-komunikacja-ID44Hei.html#bcc2421ba9;2020-02-14 16:20:23.091451
Luksusowe studio z widokiem na Wisłę;Mieszkanie na sprzedaż: , Grzegórzki;1 pokój;384 185 zł;27,44 m²;14 001 zł/m²;https://www.otodom.pl/oferta/luksusowe-studio-z-widokiem-na-wisle-ID44Hed.html#bcc2421ba9;2020-02-14 16:20:23.091451
Mieszkanie, 48 m², Kraków;Mieszkanie na sprzedaż: , Prądnik Czerwony, Ugorek;2 pokoje;395 000 zł;48 m²;8 229 zł/m²;https://www.otodom.pl/oferta/mieszkanie-48-m-krakow-ID44He2.html#bcc2421ba9;2020-02-14 16:20:23.091451
Do sprzedania mieszkanie 1 pok - os. Willowe;Mieszkanie na sprzedaż: , Nowa Huta;1 pokój;260 000 zł;33 m²;7 879 zł/m²;https://www.otodom.pl/oferta/do-sprzedania-mieszkanie-1-pok-os-willowe-ID44HdX.html#bcc2421ba9;2020-02-14 16:20:23.091451
