;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
1;2 pok., 48m2, Czarnogórska, Wola Duchacka, Kraków;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;375000.0;48.0;7813.0;https://www.otodom.pl/oferta/2-pok-48m2-czarnogorska-wola-duchacka-krakow-ID44CXs.html#de3f47c1fe;2020-02-20 17:23:45.372605;Czarnogórska;Kraków , Podgórze Duchackie, Wola Duchacka, Czarnogórska;Czarnogórska, Wola Duchacka Wschód, Podgórze Duchackie, Kraków, województwo małopolskie, 30-630, Polska;(50.0197183, 19.9709187, 0.0);50.0197183;19.9709187;0.0;POINT (569532.9887365557 239611.625416046)
2;Wadowicka kawalerka cesja 27m2, ogródek 17,15 m2;Kraków , Podgórze;2 pokoje;288300.0;27.46;10499.0;https://www.otodom.pl/oferta/wadowicka-kawalerka-cesja-27m2-ogrodek-17-15-m2-ID44vGn.html#de3f47c1fe;2020-02-20 17:23:45.372605;Wadowicka;Kraków , Podgórze, Wadowicka;Wadowicka, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-415, Polska;(50.0350632, 19.9397264, 0.0);50.0350632;19.9397264;0.0;POINT (567277.7271268149 241288.6550673964)
3;3pokoje,77m2,1pietro Stare Miasto;Kraków , Stare Miasto;3 pokoje;990000.0;77.02;12854.0;https://www.otodom.pl/oferta/3pokoje-77m2-1pietro-stare-miasto-ID44MWf.html#de3f47c1fe;2020-02-20 17:23:45.372605;Starego;Kraków , Stare Miasto, Starego;Sarkofag Zygmunta I Starego, 1, Dziedziniec Batorego, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska;(50.0547963, 19.9356012, 0.0);50.0547963;19.9356012;0.0;POINT (566954.9399643488 243478.2743801456)
4;Dwa pokoje - Szafrana.;Kraków , Podgórze, Mateczny;2 pokoje;560000.0;45.0;12444.0;https://www.otodom.pl/oferta/dwa-pokoje-szafrana-ID44MWa.html#de3f47c1fe;2020-02-20 17:23:45.372605;Szafrana;Kraków , Podgórze, Mateczny, Szafrana;Tadeusza Szafrana, Mateczny, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-363, Polska;(50.0345918, 19.93293, 0.0);50.0345918;19.93293;0.0;POINT (566791.8146598509 241230.164427923)
5;3-Pokoje 50m2 ul.Odrzańska;Kraków , Łagiewniki-Borek Fałęcki, Cegielniana;3 pokoje;408000.0;50.11;8142.0;https://www.otodom.pl/oferta/3-pokoje-50m2-ul-odrzanska-ID44MW8.html#de3f47c1fe;2020-02-20 17:23:45.372605;Odrzańska;Kraków , Łagiewniki-Borek Fałęcki, Cegielniana, Odrzańska;Odrzańska, Osiedle Cegielniana, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-408, Polska;(50.0262372, 19.9294398, 0.0);50.0262372;19.9294398;0.0;POINT (566553.4880990515 240298.4441575315)
14;Trzypokojowe mieszkanie, 47m2, Szafrana;Kraków , Podgórze;3 pokoje;560000.0;47.0;11915.0;https://www.otodom.pl/oferta/trzypokojowe-mieszkanie-47m2-szafrana-ID44MTg.html#de3f47c1fe;2020-02-20 17:23:45.372605;Szafrana;Kraków , Podgórze, Szafrana;Tadeusza Szafrana, Mateczny, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-363, Polska;(50.0345918, 19.93293, 0.0);50.0345918;19.93293;0.0;POINT (566791.8146598509 241230.164427923)
16;Prokocim - 3 pokoje, cicha i spokojna okolica;Kraków , Bieżanów-Prokocim, Prokocim;3 pokoje;450000.0;60.0;7500.0;https://www.otodom.pl/oferta/prokocim-3-pokoje-cicha-i-spokojna-okolica-ID44MT0.html#de3f47c1fe;2020-02-20 17:23:45.388258;Prokocimia;Kraków , Bieżanów-Prokocim, Prokocim, Prokocimia;Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska;(50.0226748, 19.9921741, 0.0);50.0226748;19.9921741;0.0;POINT (571050.8213306962 239960.2205082783)
19;Bezpośrednio, Kawalerka, Mistrzejowice;Kraków , Mistrzejowice;1 pokój;245000.0;27.48;8916.0;https://www.otodom.pl/oferta/bezposrednio-kawalerka-mistrzejowice-ID43m3i.html#de3f47c1fe;2020-02-20 17:23:45.388258;Mistrzejowicka;Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska;(50.0969093, 20.0259479, 0.0);50.0969093;20.0259479;0.0;POINT (573356.0700843487 248243.9720702069)
