;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
1;Mieszkanie - Kraków Grzegórzki;Kraków , Grzegórzki;2 pokoje;445055.0;44.51;9999.0;https://www.otodom.pl/oferta/mieszkanie-krakow-grzegorzki-ID44DxT.html#de3f47c1fe;2020-02-17 19:01:35.091756;"""Kraków""";"Kraków , Grzegórzki, ""Kraków""";Kraków Główny, Peron 3, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 30-901, Polska;(50.0686663, 19.947802, 0.0);50.0686663;19.947802;0.0;POINT (567808.5033167193 245030.9240660574)
2;Kraków, Bronowice Wielkie, Ojcowska 76;Kraków , Bronowice;5 pokoi;658000.0;123.0;5350.0;https://www.otodom.pl/oferta/krakow-bronowice-wielkie-ojcowska-76-ID44BDY.html#de3f47c1fe;2020-02-17 19:01:35.091756;Ojcowska;Kraków , Bronowice, Ojcowska;Ojcowska, Bronowice Wielkie, Bronowice, Kraków, województwo małopolskie, 31-344, Polska;(50.0929809, 19.8823179, 0.0);50.0929809;19.8823179;0.0;POINT (563091.7266725729 247676.1241191197)
4;Jasne mieszkanie w ścisłym centrum Krakowa!!;Kraków , Stare Miasto;2 pokoje;370000.0;30.5;12131.0;https://www.otodom.pl/oferta/jasne-mieszkanie-w-scislym-centrum-krakowa-ID44E5J.html#de3f47c1fe;2020-02-17 19:01:35.091756;Krakowa;Kraków , Stare Miasto, Krakowa;Muzeum Historyczne Miasta Krakowa, 35, Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, 31-013, Polska;(50.0627747, 19.936496, 0.0);50.0627747;19.936496;0.0;POINT (567007.8599429791 244365.8735910375)
6;2 pokojowe mieszkanie w sąsiedztwie Zakrzówka;Kraków , Dębniki;1 pokój;360000.0;35.0;10286.0;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-sasiedztwie-zakrzowka-ID44Jr1.html#de3f47c1fe;2020-02-17 19:01:35.091756;Zakrzówek;Kraków , Dębniki, Zakrzówek;Zakrzówek, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-346, Polska;(50.0418746, 19.9197934, 0.0);50.0418746;19.9197934;0.0;POINT (565841.3712397455 242027.9884201232)
9;Mieszkanie, 33,91 m², Kraków;Kraków , Grzegórzki;1 pokój;474740.0;33.91;14000.0;https://www.otodom.pl/oferta/mieszkanie-33-91-m-krakow-ID44Jq3.html#de3f47c1fe;2020-02-17 19:01:35.091756;"""Kraków""";"Kraków , Grzegórzki, ""Kraków""";Kraków Główny, Peron 3, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 30-901, Polska;(50.0686663, 19.947802, 0.0);50.0686663;19.947802;0.0;POINT (567808.5033167193 245030.9240660574)
13;Przy Dworku Białoprądnickim , 52m z balkonem!;Kraków , Prądnik Biały;3 pokoje;395000.0;63.0;6270.0;https://www.otodom.pl/oferta/przy-dworku-bialopradnickim-52m-z-balkonem-ID44yNZ.html#de3f47c1fe;2020-02-17 19:01:35.092753;Białoprądnicka;Kraków , Prądnik Biały, Białoprądnicka;Białoprądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-221, Polska;(50.0952644, 19.9351654, 0.0);50.0952644;19.9351654;0.0;POINT (566867.4466839134 247975.9155537104)
18;Mieszkanie, 58,70 m², Kraków;Kraków , Dębniki, Ludwinów;3 pokoje;498950.0;58.7;8500.0;https://www.otodom.pl/oferta/mieszkanie-58-70-m-krakow-ID44JoB.html#de3f47c1fe;2020-02-17 19:01:35.092753;"""Kraków""";"Kraków , Dębniki, Ludwinów, ""Kraków""";Centrum Kongresowe ICE Kraków, 17, Marii Konopnickiej, Ludwinów, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-302, Polska;(50.047954849999996, 19.931461686754105, 0.0);50.047954849999996;19.931461686754105;0.0;POINT (566668.1842939097 242714.1490492215)
23;Stylowy apartament. Okolice Krakowa. Kameralne os.;Kraków , małopolskie;2 pokoje;389000.0;54.23;7173.0;https://www.otodom.pl/oferta/stylowy-apartament-okolice-krakowa-kameralne-os-ID42huS.html#de3f47c1fe;2020-02-17 19:01:35.092753;Krakowa;Kraków , małopolskie, Krakowa;Muzeum Historyczne Miasta Krakowa Ulica Pomorska, 2, Pomorska, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-039, Polska;(50.0707757, 19.9248071, 0.0);50.0707757;19.9248071;0.0;POINT (566160.5045714349 245244.7674069256)
