Apartament Sosnowiecka Wyposażony Wysoki Standard;Mieszkanie na sprzedaż: , Bronowice;1 pokój;362 000 zł;33,16 m²;10 917 zł/m²;https://www.otodom.pl/oferta/apartament-sosnowiecka-wyposazony-wysoki-standard-ID44BSK.html#de3f47c1fe;2020-02-15 09:09:58.650105
Salwator/Zwierzyniec, wysoki standard, 2001rok;Mieszkanie na sprzedaż: , Zwierzyniec, Salwator;2 pokoje;599 000 zł;58,10 m²;10 310 zł/m²;https://www.otodom.pl/oferta/salwator-zwierzyniec-wysoki-standard-2001rok-ID43PWY.html#de3f47c1fe;2020-02-15 09:09:58.650105
Wola Justowska okolice Parku Decjusza 4 pokoje;Mieszkanie na sprzedaż: , Zwierzyniec, Wola Justowska;4 pokoje;900 000 zł;100 m²;9 000 zł/m²;https://www.otodom.pl/oferta/wola-justowska-okolice-parku-decjusza-4-pokoje-ID448Wu.html#de3f47c1fe;2020-02-15 09:09:58.650105
79m2 3pok z z garażem i piwnicą -Dobrego Pasterza;Mieszkanie na sprzedaż: , Prądnik Czerwony;3 pokoje;620 000 zł;79 m²;7 848 zł/m²;https://www.otodom.pl/oferta/79m2-3pok-z-z-garazem-i-piwnica-dobrego-pasterza-ID43OY6.html#de3f47c1fe;2020-02-15 09:09:58.650105
3pok mieszkanie blisko Dworca Głównego Ariańska;Mieszkanie na sprzedaż: , Śródmieście;3 pokoje;560 000 zł;64 m²;8 750 zł/m²;https://www.otodom.pl/oferta/3pok-mieszkanie-blisko-dworca-glownego-arianska-ID43OXZ.html#de3f47c1fe;2020-02-15 09:09:58.650105
Meissnera 3 pok 59m2 od strony skweru;Mieszkanie na sprzedaż: , małopolskie;3 pokoje;539 000 zł;59,30 m²;9 089 zł/m²;https://www.otodom.pl/oferta/meissnera-3-pok-59m2-od-strony-skweru-ID44h4p.html#de3f47c1fe;2020-02-15 09:09:58.650105
Atrakcyjne 2-pok Bronowice Wielkie garaż;Mieszkanie na sprzedaż: , Prądnik Biały, Bronowice Wielkie;2 pokoje;419 000 zł;41 m²;10 220 zł/m²;https://www.otodom.pl/oferta/atrakcyjne-2-pok-bronowice-wielkie-garaz-ID44naw.html#de3f47c1fe;2020-02-15 09:09:58.650105
Apartament ze spektakularną panoramą Krakowa.;Mieszkanie na sprzedaż: , Dębniki, Ruczaj;4 pokoje;1 100 000 zł;103 m²;10 680 zł/m²;https://www.otodom.pl/oferta/apartament-ze-spektakularna-panorama-krakowa-ID44dd2.html#de3f47c1fe;2020-02-15 09:09:58.650105
Otwarte na zmiany M4 szuka rodziny.;Mieszkanie na sprzedaż: , Prądnik Czerwony;4 pokoje;699 000 zł;103 m²;6 786 zł/m²;https://www.otodom.pl/oferta/otwarte-na-zmiany-m4-szuka-rodziny-ID43IZL.html#de3f47c1fe;2020-02-15 09:09:58.650105
Mieszkanie do wprowadzenia - Rondo Matecznego;Mieszkanie na sprzedaż: , Podgórze;1 pokój;369 900 zł;30 m²;12 330 zł/m²;https://www.otodom.pl/oferta/mieszkanie-do-wprowadzenia-rondo-matecznego-ID440Oz.html#de3f47c1fe;2020-02-15 09:09:58.650105
Bibice ul. Krakowska - Stan Deweloperski;Mieszkanie na sprzedaż: , Prądnik Biały;4 pokoje;499 000 zł;77 m²;6 481 zł/m²;https://www.otodom.pl/oferta/bibice-ul-krakowska-stan-deweloperski-ID44HCy.html#de3f47c1fe;2020-02-15 09:09:58.650105
SKAWIŃSKA Kawalerka BALKON kamienica po remoncie!;Mieszkanie na sprzedaż: , Stare Miasto;1 pokój;455 000 zł;26,98 m²;16 864 zł/m²;https://www.otodom.pl/oferta/skawinska-kawalerka-balkon-kamienica-po-remoncie-ID4412y.html#de3f47c1fe;2020-02-15 09:09:58.650105
ZIELONKI !! Popielate Wzgórza 2.0!! II ETAP !!;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;409 000 zł;57,60 m²;7 101 zł/m²;https://www.otodom.pl/oferta/zielonki-popielate-wzgorza-2-0-ii-etap-ID40Mtj.html#de3f47c1fe;2020-02-15 09:09:58.651103
Drugi Etap! Zielonki- KrK!! POPIELATE WZGÓRZA 2.0!;Mieszkanie na sprzedaż: , Prądnik Biały;3 pokoje;429 000 zł;63,50 m²;6 756 zł/m²;https://www.otodom.pl/oferta/drugi-etap-zielonki-krk-popielate-wzgorza-2-0-ID3DRyU.html#de3f47c1fe;2020-02-15 09:09:58.651103
5 Pokoi 113m2 + balkon | Stare Miasto | Sebastiana;Mieszkanie na sprzedaż: , Stare Miasto;5 pokoi;1 149 000 zł;100,60 m²;11 421 zł/m²;https://www.otodom.pl/oferta/5-pokoi-113m2-balkon-stare-miasto-sebastiana-ID43yk6.html#de3f47c1fe;2020-02-15 09:09:58.651103
