;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
40;3-pokoje, 64 m2 - Bronowice stan dweloperski;Kraków , Bronowice;3 pokoje;530000.0;63.7;8320.0;https://www.otodom.pl/oferta/3-pokoje-64-m2-bronowice-stan-dweloperski-ID44KmR.html#bcc2421ba9;2020-02-18 17:24:40.476759;Bronowicka;Kraków , Bronowice, Bronowicka;Bronowicka, Stara Krowodrza, Bronowice, Delegatura Kraków-Krowodrza, Kraków, województwo małopolskie, 30-084, Polska;(50.0769526, 19.9030181, 0.0);50.0769526;19.9030181;0.0;POINT (564593.4482024474 245912.2633061446)
54;Mieszkanie 2 pokoje, Mistrzejowice, TBS;Kraków , Mistrzejowice;2 pokoje;150000.0;41.0;3659.0;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-mistrzejowice-tbs-ID44HDY.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Mistrzejowicka;Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska;(50.0969093, 20.0259479, 0.0);50.0969093;20.0259479;0.0;POINT (573356.0700843487 248243.9720702069)
57;Myśliwska Park, segment A, MD6;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md6-ID42G0a.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Myśliwska;Kraków , Podgórze, Myśliwska;Myśliwska, Osiedle Lipska, Podgórze, Kraków, województwo małopolskie, 30-730, Polska;(50.0456691, 20.000135, 0.0);50.0456691;20.000135;0.0;POINT (571586.7051591821 242523.6080506146)
58;Myśliwska Park, segment A, MD8;Kraków , Podgórze;6 pokoi;973029.0;177.56;5480.0;https://www.otodom.pl/oferta/mysliwska-park-segment-a-md8-ID42G0b.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Myśliwska;Kraków , Podgórze, Myśliwska;Myśliwska, Osiedle Lipska, Podgórze, Kraków, województwo małopolskie, 30-730, Polska;(50.0456691, 20.000135, 0.0);50.0456691;20.000135;0.0;POINT (571586.7051591821 242523.6080506146)
60;Bieńczyce: 4 pokoje, doskonała lokalizacja;Kraków , Bieńczyce;4 pokoje;479000.0;64.0;7484.0;https://www.otodom.pl/oferta/bienczyce-4-pokoje-doskonala-lokalizacja-ID44Kgf.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Bieńczyckie;Kraków , Bieńczyce, Bieńczyckie;Planty Bieńczyckie, Bieńczyce, Kraków, województwo małopolskie, 31-845, Polska;(50.08937935, 20.011360169078962, 0.0);50.08937935;20.011360169078962;0.0;POINT (572324.3890057355 247392.7915977798)
63;Nowy apartament 89m2 ul. Stelmachów 238m2 ogródka;Kraków , Prądnik Biały, Bronowice Wielkie;4 pokoje;747000.0;89.0;8393.0;https://www.otodom.pl/oferta/nowy-apartament-89m2-ul-stelmachow-238m2-ogrodka-ID44Kfm.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Stelmachów;Kraków , Prądnik Biały, Bronowice Wielkie, Stelmachów;Stelmachów, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-341, Polska;(50.0957664, 19.9055908, 0.0);50.0957664;19.9055908;0.0;POINT (564752.118985843 248005.6528973095)
64;Nowe mieszkanie ul. Stelmachów;Kraków , Prądnik Biały, Bronowice Wielkie;2 pokoje;368000.0;45.0;8178.0;https://www.otodom.pl/oferta/nowe-mieszkanie-ul-stelmachow-ID44KeO.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Stelmachów;Kraków , Prądnik Biały, Bronowice Wielkie, Stelmachów;Stelmachów, Bronowice Wielkie, Prądnik Biały, Kraków, województwo małopolskie, 31-341, Polska;(50.0957664, 19.9055908, 0.0);50.0957664;19.9055908;0.0;POINT (564752.118985843 248005.6528973095)
70;3 Pok + 2 msc Postojowe w Zielonkach / Duży Ogród;Kraków , małopolskie;3 pokoje;515000.0;55.0;9364.0;https://www.otodom.pl/oferta/3-pok-2-msc-postojowe-w-zielonkach-duzy-ogrod-ID44Kc1.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Zielona;Kraków , małopolskie, Zielona;Zielona, Wola Duchacka, Podgórze Duchackie, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-623, Polska;(50.020073, 19.9496437, 0.0);50.020073;19.9496437;0.0;POINT (568008.8891458645 239631.4810384214)
71;Zyblikiewicza, 51m2, 3 pok+kuchnia, pod inwestycję;Kraków , Stare Miasto;3 pokoje;689000.0;51.0;13510.0;https://www.otodom.pl/oferta/zyblikiewicza-51m2-3-pok-kuchnia-pod-inwestycje-ID44KbR.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Zyblikiewicza;Kraków , Stare Miasto, Zyblikiewicza;Mikołaja Zyblikiewicza, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-029, Polska;(50.0598154, 19.9456695, 0.0);50.0598154;19.9456695;0.0;POINT (567668.3918045387 244045.2151152072)
72;Opatkowice, 4 pokoje, Nowe;Kraków , Swoszowice, Opatkowice;4 pokoje;452000.0;66.45;6802.0;https://www.otodom.pl/oferta/opatkowice-4-pokoje-nowe-ID44Kbi.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Opatkowicka;Kraków , Swoszowice, Opatkowice, Opatkowicka;Opatkowicka, Opatkowice, Swoszowice, Kraków, województwo małopolskie, 30-499, Polska;(49.9836953, 19.9160164, 0.0);49.9836953;19.9160164;0.0;POINT (565650.2256588747 235558.0975218732)
76;Jedyne takie mieszkanie! Prądnik Czerwony;Kraków , Prądnik Czerwony;3 pokoje;470859.0;50.63;9300.0;https://www.otodom.pl/oferta/jedyne-takie-mieszkanie-pradnik-czerwony-ID44K9l.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Prądnika;Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
77;Jedyne takie mieszkanie! Prądnik Czerwony;Kraków , Prądnik Czerwony;2 pokoje;404640.0;42.15;9600.0;https://www.otodom.pl/oferta/jedyne-takie-mieszkanie-pradnik-czerwony-ID44K9k.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Prądnika;Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
78;Prądnik Czerwony, jedyne tkaie mieszkanie!;Kraków , Prądnik Czerwony;4 pokoje;930690.0;103.41;9000.0;https://www.otodom.pl/oferta/pradnik-czerwony-jedyne-tkaie-mieszkanie-ID44K9j.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Prądnika;Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
79;Przestronne mieszkanie na Prądniku Białym;Kraków , Prądnik Biały;3 pokoje;560000.0;56.5;9912.0;https://www.otodom.pl/oferta/przestronne-mieszkanie-na-pradniku-bialym-ID44K91.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Prądnika;Kraków , Prądnik Biały, Prądnika;Prądnik Biały, Kraków, województwo małopolskie, Polska;(50.0955225, 19.9283169, 0.0);50.0955225;19.9283169;0.0;POINT (566377.4070532473 247998.4942823648)
80;Kraków Krowodrza ul. Mazowiecka - 52m 3pok+Balkon;Kraków , Krowodrza;3 pokoje;483600.0;52.0;9300.0;https://www.otodom.pl/oferta/krakow-krowodrza-ul-mazowiecka-52m-3pok-balkon-ID44K90.html#e7b1ebfb0e;2020-02-18 17:24:41.328667;Mazowiecka;Kraków , Krowodrza, Mazowiecka;Mazowiecka, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-015, Polska;(50.0741152, 19.9291891, 0.0);50.0741152;19.9291891;0.0;POINT (566469.3704988041 245619.8426204808)
