;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
0;3 pokoje/Prądnik Biały/ Banacha/ Nowe-wykończone;Kraków , Prądnik Biały;3 pokoje;470000.0;51.5;9126.0;https://www.otodom.pl/oferta/3-pokoje-pradnik-bialy-banacha-nowe-wykonczone-ID44GVg.html#de3f47c1fe;2020-02-18 17:24:39.195812;Banacha;Kraków , Prądnik Biały, Banacha;Banacha, Aleja 29 Listopada, Górka Narodowa, Prądnik Biały, Kraków, województwo małopolskie, 31-236, Polska;(50.1015333, 19.9641367, 0.0);50.1015333;19.9641367;0.0;POINT (568929.9616772018 248699.0465558404)
5;Prądnik Czerwony -33m2 2pok parter;Kraków , Prądnik Czerwony;2 pokoje;407000.0;33.0;12333.0;https://www.otodom.pl/oferta/pradnik-czerwony-33m2-2pok-parter-ID44KzC.html#de3f47c1fe;2020-02-18 17:24:39.195812;Prądnika;Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188)
6;Eleganckie mieszkanie 45m2 Grzegórzki;Kraków , małopolskie;2 pokoje;495000.0;45.0;11000.0;https://www.otodom.pl/oferta/eleganckie-mieszkanie-45m2-grzegorzki-ID44Kzz.html#de3f47c1fe;2020-02-18 17:24:39.195812;Grzegórzecka;Kraków , małopolskie, Grzegórzecka;Grzegórzecka, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.0567623, 19.9611326, 0.0);50.0567623;19.9611326;0.0;POINT (568779.2173764205 243719.9819600955)
11;Bezpośrednio, Kawalerka, Mistrzejowice;Kraków , Mistrzejowice;1 pokój;245000.0;27.48;8916.0;https://www.otodom.pl/oferta/bezposrednio-kawalerka-mistrzejowice-ID43m3i.html#de3f47c1fe;2020-02-18 17:24:39.195812;Mistrzejowicka;Kraków , Mistrzejowice, Mistrzejowicka;Mistrzejowicka, Mistrzejowice, Kraków, województwo małopolskie, 31-651, Polska;(50.0969093, 20.0259479, 0.0);50.0969093;20.0259479;0.0;POINT (573356.0700843487 248243.9720702069)
18;2-pokojowe Rydlówka;Kraków , Podgórze;2 pokoje;590000.0;59.0;10000.0;https://www.otodom.pl/oferta/2-pokojowe-rydlowka-ID44KtE.html#de3f47c1fe;2020-02-18 17:24:39.195812;Rydlówka;Kraków , Podgórze, Rydlówka;Rydlówka, Mateczny, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-415, Polska;(50.0352782, 19.9349524, 0.0);50.0352782;19.9349524;0.0;POINT (566935.6490624668 241308.2663329504)
20;Wykończone mieszkanie aleja Pokoju 44 mkw;Kraków , Grzegórzki, Dąbie;2 pokoje;475376.0;44.0;10804.0;https://www.otodom.pl/oferta/wykonczone-mieszkanie-aleja-pokoju-44-mkw-ID43xr9.html#de3f47c1fe;2020-02-18 17:24:39.195812;Pokoju;Kraków , Grzegórzki, Dąbie, Pokoju;Aleja Pokoju, Dąbie, Grzegórzki, Kraków, województwo małopolskie, 31-311, Polska;(50.0596505, 19.9754432, 0.0);50.0596505;19.9754432;0.0;POINT (569799.0845970947 244054.2737237671)
21;Przestronny 2/3pok 64m2 ul. Szlak Angel City;Kraków , Stare Miasto;3 pokoje;850000.0;64.0;13281.0;https://www.otodom.pl/oferta/przestronny-2-3pok-64m2-ul-szlak-angel-city-ID43T95.html#de3f47c1fe;2020-02-18 17:24:39.195812;Szlak;Kraków , Stare Miasto, Szlak;Szlak, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-154, Polska;(50.0704721, 19.9436211, 0.0);50.0704721;19.9436211;0.0;POINT (567506.8592848863 245227.8524382655)
28;*Nowa INWESTYCJA*Świetna lokalizacja!! Łagiewniki;Kraków , Łagiewniki-Borek Fałęcki;1 pokój;327000.0;34.41;9503.0;https://www.otodom.pl/oferta/nowa-inwestycjaswietna-lokalizacja-lagiewniki-ID41a9J.html#bcc2421ba9;2020-02-18 17:24:40.476759;Łagiewnicka;Kraków , Łagiewniki-Borek Fałęcki, Łagiewnicka;Łagiewnicka, Ludwinów, Podgórze, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-417, Polska;(50.0318955, 19.9431169, 0.0);50.0318955;19.9431169;0.0;POINT (567524.9012258716 240939.6247071801)
37;Mieszkanie os. kozłówek ul. okólna 14;Kraków , Bieżanów-Prokocim, Kozłówek;2 pokoje;375000.0;45.5;8242.0;https://www.otodom.pl/oferta/mieszkanie-os-kozlowek-ul-okolna-14-ID44wqd.html#bcc2421ba9;2020-02-18 17:24:40.476759;Okólna;Kraków , Bieżanów-Prokocim, Kozłówek, Okólna;Okólna, Osiedle Kozłówek, Podgórze Duchackie, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-681, Polska;(50.0164142, 19.9837781, 0.0);50.0164142;19.9837781;0.0;POINT (570458.7398329553 239256.4173786202)
39;Żabiniec 4 pok po remoncie dla inwestora;Kraków , Prądnik Biały, Żabiniec;4 pokoje;509000.0;52.0;9788.0;https://www.otodom.pl/oferta/zabiniec-4-pok-po-remoncie-dla-inwestora-ID44KnC.html#bcc2421ba9;2020-02-18 17:24:40.476759;Żabiniec;Kraków , Prądnik Biały, Żabiniec, Żabiniec;Żabiniec, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska;(50.0821999, 19.9463442, 0.0);50.0821999;19.9463442;0.0;POINT (567685.1541646176 246533.8616589475)
