;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
0;os.Szkolne 52m do wejścia;Kraków , Nowa Huta;2 pokoje;390000.0;52.0;7500.0;https://www.otodom.pl/oferta/os-szkolne-52m-do-wejscia-ID44HtF.html#de3f47c1fe;2020-02-22 07:59:41.298990;Szkolne;Kraków , Nowa Huta, Szkolne;Osiedle Szkolne, Osiedle Na Skarpie, Delegatura Kraków-Nowa Huta, Kraków, województwo małopolskie, 32-977, Polska;(50.0774958, 20.0482373, 0.0);50.0774958;20.0482373;0.0;POINT (574980.0319449959 246108.3005765826)
3;Ruczaj. Grota-Roweckiego. 72m, 4/4. (Z potencjałem;Kraków , Dębniki, Ruczaj;4 pokoje;569000.0;71.46;7962.0;https://www.otodom.pl/oferta/ruczaj-grota-roweckiego-72m-4-4-z-potencjalem-ID44kpG.html#de3f47c1fe;2020-02-22 07:59:41.299963;Grota-Roweckiego;Kraków , Dębniki, Ruczaj, Grota-Roweckiego;Generała Stefana Grota-Roweckiego, Osiedle Ruczaj-Zaborze, Łagiewniki-Borek Fałęcki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-376, Polska;(50.0293477, 19.91197, 0.0);50.0293477;19.91197;0.0;POINT (565298.3461236949 240628.7681384189)
15;Mieszkanie 1 Pokój+Antresola 30,75 M2 Stare Miasto;Kraków , Stare Miasto;1 pokój;461250.0;30.75;15000.0;https://www.otodom.pl/oferta/mieszkanie-1-pokoj-antresola-30-75-m2-stare-miasto-ID44O88.html#de3f47c1fe;2020-02-22 07:59:41.299963;Starego;Kraków , Stare Miasto, Starego;Sarkofag Zygmunta I Starego, 1, Dziedziniec Batorego, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska;(50.0547963, 19.9356012, 0.0);50.0547963;19.9356012;0.0;POINT (566954.9399643488 243478.2743801456)
19;Felińskiego, 2 pokoje, 38m2;Kraków , Prądnik Biały;2 pokoje;365000.0;38.0;9605.0;https://www.otodom.pl/oferta/felinskiego-2-pokoje-38m2-ID44O7S.html#de3f47c1fe;2020-02-22 07:59:41.299963;Felińskiego;Kraków , Prądnik Biały, Felińskiego;Arcybiskupa Zygmunta Szczęsnego Felińskiego, Osiedle Gotyk, Prądnik Biały, Kraków, województwo małopolskie, 31-241, Polska;(50.1003129, 19.9670423, 0.0);50.1003129;19.9670423;0.0;POINT (569139.4476888189 248566.0846677488)
20;Prądnik Biały 55,5M2 3 Pokoje;Kraków , Prądnik Biały;3 pokoje;600000.0;55.5;10811.0;https://www.otodom.pl/oferta/pradnik-bialy-55-5m2-3-pokoje-ID44O7R.html#de3f47c1fe;2020-02-22 07:59:41.299963;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
21;Żwirki i Wigury, 2 pokoje, 35m2;Kraków , Grzegórzki, Olsza;2 pokoje;387000.0;35.0;11057.0;https://www.otodom.pl/oferta/zwirki-i-wigury-2-pokoje-35m2-ID44O7Q.html#de3f47c1fe;2020-02-22 07:59:41.300961;Wigury;Kraków , Grzegórzki, Olsza, Wigury;Żwirki i Wigury, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-462, Polska;(50.0794421, 19.9722129, 0.0);50.0794421;19.9722129;0.0;POINT (569539.3139024054 246251.0925405584)
24;Mieszkanie do odświeżenia, Ogrodniki, Podgórze;Kraków , Podgórze;1 pokój;399000.0;55.2;7228.0;https://www.otodom.pl/oferta/mieszkanie-do-odswiezenia-ogrodniki-podgorze-ID44O78.html#de3f47c1fe;2020-02-22 07:59:41.300961;Ogrodniki;Kraków , Podgórze, Ogrodniki;Ogrodniki, Bonarka, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-404, Polska;(50.0268704, 19.9354851, 0.0);50.0268704;19.9354851;0.0;POINT (566985.480651306 240374.2229871424)
25;2-pokoje, po remoncie, Wysłouchów;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;375000.0;50.0;7500.0;https://www.otodom.pl/oferta/2-pokoje-po-remoncie-wyslouchow-ID44O77.html#de3f47c1fe;2020-02-22 07:59:41.300961;Wysłouchów;Kraków , Podgórze Duchackie, Kurdwanów, Wysłouchów;Wysłouchów, Marii i Bolesława Wysłouchów, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-611, Polska;(50.0082278, 19.951703, 0.0);50.0082278;19.951703;0.0;POINT (568173.1214385193 238316.7762070829)
27;Kawalerka 17m2 ul.Bonerowska/Poczta Główna, Kraków;Kraków , Stare Miasto;1 pokój;277365.0;16.81;16500.0;https://www.otodom.pl/oferta/kawalerka-17m2-ul-bonerowska-poczta-glowna-krakow-ID44GcT.html#bcc2421ba9;2020-02-22 07:59:42.070480;Główna;Kraków , Stare Miasto, Główna;Poczta Główna, Stare Miasto, Kraków, województwo małopolskie, Polska;(50.059870849999996, 19.94236407317203, 0.0);50.059870849999996;19.94236407317203;0.0;POINT (567431.794458025 244048.390250098)
31;Kraków Krowodrza ul. Mazowiecka - 34m, 2pok+Balkon;Kraków , Krowodrza;2 pokoje;390000.0;34.0;11471.0;https://www.otodom.pl/oferta/krakow-krowodrza-ul-mazowiecka-34m-2pok-balkon-ID44O6k.html#bcc2421ba9;2020-02-22 07:59:42.071477;Mazowiecka;Kraków , Krowodrza, Mazowiecka;Mazowiecka, Nowa Wieś, Krowodrza, Kraków, województwo małopolskie, 30-015, Polska;(50.0741152, 19.9291891, 0.0);50.0741152;19.9291891;0.0;POINT (566469.3704988041 245619.8426204808)
