os.Szkolne 52m do wejścia;Kraków , Nowa Huta;2 pokoje;390 000 zł;52 m²;7 500 zł/m²;https://www.otodom.pl/oferta/os-szkolne-52m-do-wejscia-ID44HtF.html#de3f47c1fe;2020-02-22 07:59:41.298990
3 kawalerki w wysokim standardzie na Łobzowie;Kraków , Krowodrza;3 pokoje;950 000 zł;76 m²;12 500 zł/m²;https://www.otodom.pl/oferta/3-kawalerki-w-wysokim-standardzie-na-lobzowie-ID44Dgw.html#de3f47c1fe;2020-02-22 07:59:41.298990
Mieszkanie, 56,90 m², Kraków;Kraków , Podgórze;3 pokoje;449 000 zł;56,90 m²;7 891 zł/m²;https://www.otodom.pl/oferta/mieszkanie-56-90-m-krakow-ID436Vk.html#de3f47c1fe;2020-02-22 07:59:41.299963
Ruczaj. Grota-Roweckiego. 72m, 4/4. (Z potencjałem;Kraków , Dębniki, Ruczaj;4 pokoje;569 000 zł;71,46 m²;7 962 zł/m²;https://www.otodom.pl/oferta/ruczaj-grota-roweckiego-72m-4-4-z-potencjalem-ID44kpG.html#de3f47c1fe;2020-02-22 07:59:41.299963
Wchodzisz i Mieszkasz do 3 pok, Majora.P.Czerwony.;Kraków , Prądnik Czerwony;3 pokoje;455 000 zł;52,48 m²;8 670 zł/m²;https://www.otodom.pl/oferta/wchodzisz-i-mieszkasz-do-3-pok-majora-p-czerwony-ID445d5.html#de3f47c1fe;2020-02-22 07:59:41.299963
ul.Bochenka,Piaski Nowe-Ekskluzywne 3pokojowe.;Kraków , Podgórze Duchackie, Piaski Wielkie;3 pokoje;446 000 zł;45,50 m²;9 802 zł/m²;https://www.otodom.pl/oferta/ul-bochenka-piaski-nowe-ekskluzywne-3pokojowe-ID44KMq.html#de3f47c1fe;2020-02-22 07:59:41.299963
Krowodrza. Fieldorfa-Nila.2pok.Kup i Wynajmuj.;Kraków , Krowodrza;2 pokoje;540 000 zł;50 m²;10 800 zł/m²;https://www.otodom.pl/oferta/krowodrza-fieldorfa-nila-2pok-kup-i-wynajmuj-ID44KSp.html#de3f47c1fe;2020-02-22 07:59:41.299963
Apartamentowiec" Super Lokalizacja"ul.Bochenka";Kraków , Podgórze Duchackie, Piaski Wielkie;2 pokoje;450 000 zł;48,23 m²;9 330 zł/m²;https://www.otodom.pl/oferta/apartamentowiec-super-lokalizacja-ul-bochenka-ID44LLk.html#de3f47c1fe;2020-02-22 07:59:41.299963
Penthouse z tarasem, Wisła, 5 min na Wawel, Gotowe;Kraków , Dębniki, Stare Dębniki;7 pokoi;5 490 000 zł;207 m²;26 522 zł/m²;https://www.otodom.pl/oferta/penthouse-z-tarasem-wisla-5-min-na-wawel-gotowe-ID440w5.html#de3f47c1fe;2020-02-22 07:59:41.299963
Inwestycja pod WYNAJEM - 5 pokoi!!! Po REMONCIE;Kraków , Podgórze Duchackie;5 pokoi;499 999 zł;57 m²;8 772 zł/m²;https://www.otodom.pl/oferta/inwestycja-pod-wynajem-5-pokoi-po-remoncie-ID44wYN.html#de3f47c1fe;2020-02-22 07:59:41.299963
