Stylowy apartament. Okolice Krakowa. Kameralne os.;Mieszkanie na sprzedaż: , małopolskie;2 pokoje;389 000 zł;54,23 m²;7 173 zł/m²;https://www.otodom.pl/oferta/stylowy-apartament-okolice-krakowa-kameralne-os-ID42huS.html#de3f47c1fe;2020-02-05 18:13:05.508055
Mieszkanie na os. Młodości 83m2;Mieszkanie na sprzedaż: , Nowa Huta;3 pokoje;609 000 zł;83 m²;7 337 zł/m²;https://www.otodom.pl/oferta/mieszkanie-na-os-mlodosci-83m2-ID44axO.html#de3f47c1fe;2020-02-05 18:13:05.508055
Widokowe 2 pok. + kuchnia | 55m | Właściciel;Mieszkanie na sprzedaż: , Prądnik Biały;2 pokoje;499 000 zł;54,90 m²;9 089 zł/m²;https://www.otodom.pl/oferta/widokowe-2-pok-kuchnia-55m-wlasciciel-ID43YTO.html#de3f47c1fe;2020-02-05 18:13:05.508055
Garsoniera do remontu, Filarecka !;Mieszkanie na sprzedaż: , Zwierzyniec;1 pokój;299 000 zł;25 m²;11 960 zł/m²;https://www.otodom.pl/oferta/garsoniera-do-remontu-filarecka-ID44yoi.html#de3f47c1fe;2020-02-05 18:13:05.508055
Apartament przy Parku Decjusza z ogrodem 200m2;Mieszkanie na sprzedaż: , Zwierzyniec, Wola Justowska;3 pokoje;1 150 000 zł;93 m²;12 366 zł/m²;https://www.otodom.pl/oferta/apartament-przy-parku-decjusza-z-ogrodem-200m2-ID44yod.html#de3f47c1fe;2020-02-05 18:13:05.508055
Mistrzejowice, os. Boh Września 2 pokojowe 59m2;Mieszkanie na sprzedaż: , Mistrzejowice;2 pokoje;394 000 zł;59 m²;6 678 zł/m²;https://www.otodom.pl/oferta/mistrzejowice-os-boh-wrzesnia-2-pokojowe-59m2-ID42d3t.html#de3f47c1fe;2020-02-05 18:13:05.508055
Mieszkanie 104 mkw w Podgórzu z wielkim tarasem!;Mieszkanie na sprzedaż: , Podgórze;3 pokoje;579 000 zł;104 m²;5 567 zł/m²;https://www.otodom.pl/oferta/mieszkanie-104-mkw-w-podgorzu-z-wielkim-tarasem-ID44yo1.html#de3f47c1fe;2020-02-05 18:13:05.508055
3 pok. mieszkanie w Podgórzu w rewelacyjnej cenie!;Mieszkanie na sprzedaż: , Podgórze;3 pokoje;430 000 zł;64 m²;6 719 zł/m²;https://www.otodom.pl/oferta/3-pok-mieszkanie-w-podgorzu-w-rewelacyjnej-cenie-ID44yo2.html#de3f47c1fe;2020-02-05 18:13:05.523883
Mieszkanie 2 pok. w sercu Starego Podgórza|Okazja;Mieszkanie na sprzedaż: , Podgórze;2 pokoje;561 000 zł;52,83 m²;10 619 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pok-w-sercu-starego-podgorza-okazja-ID44ynJ.html#de3f47c1fe;2020-02-05 18:13:05.523883
Kawalerka po remoncie na Starym Mieście;Mieszkanie na sprzedaż: , Stare Miasto;1 pokój;420 000 zł;34 m²;12 353 zł/m²;https://www.otodom.pl/oferta/kawalerka-po-remoncie-na-starym-miescie-ID44ynD.html#de3f47c1fe;2020-02-05 18:13:05.523883
Trzy pokojowe mieszkanie, 83m2, Bartla;Mieszkanie na sprzedaż: , Dębniki;3 pokoje;675 000 zł;83 m²;8 133 zł/m²;https://www.otodom.pl/oferta/trzy-pokojowe-mieszkanie-83m2-bartla-ID44ynC.html#de3f47c1fe;2020-02-05 18:13:05.523883
Przytulne, 2-pokojowe mieszkanie na sprzedaż;Mieszkanie na sprzedaż: , Prądnik Czerwony;2 pokoje;515 000 zł;55 m²;9 364 zł/m²;https://www.otodom.pl/oferta/przytulne-2-pokojowe-mieszkanie-na-sprzedaz-ID44ynB.html#de3f47c1fe;2020-02-05 18:13:05.523883
Małe Studio W Dzielnicy Podgórze - 12 M2 - 175 000;Mieszkanie na sprzedaż: , Podgórze, Stare Podgórze;1 pokój;175 000 zł;12 m²;14 583 zł/m²;https://www.otodom.pl/oferta/male-studio-w-dzielnicy-podgorze-12-m2-175-000-ID44yni.html#de3f47c1fe;2020-02-05 18:13:05.523883
Do sprzedania 3 pokojowe mieszkanie ul. Majora.;Mieszkanie na sprzedaż: , Prądnik Czerwony;3 pokoje;455 000 zł;52,40 m²;8 683 zł/m²;https://www.otodom.pl/oferta/do-sprzedania-3-pokojowe-mieszkanie-ul-majora-ID44ynf.html#de3f47c1fe;2020-02-05 18:13:05.523883
Sprzedam mieszkanie;Mieszkanie na sprzedaż: , małopolskie;2 pokoje;325 000 zł;36,50 m²;8 904 zł/m²;https://www.otodom.pl/oferta/sprzedam-mieszkanie-ID44ylA.html#de3f47c1fe;2020-02-05 18:13:05.523883
Mieszkanie 2 pokoje 45m2 Olsza;Mieszkanie na sprzedaż: , Grzegórzki, Olsza;2 pokoje;430 000 zł;45 m²;9 556 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pokoje-45m2-olsza-ID44ymb.html#de3f47c1fe;2020-02-05 18:13:05.523883
Sprzedam mieszkanie 3 pokojowe. Bohaterów Września;Mieszkanie na sprzedaż: , Nowa Huta;3 pokoje;380 000 zł;54,95 m²;6 915 zł/m²;https://www.otodom.pl/oferta/sprzedam-mieszkanie-3-pokojowe-bohaterow-wrzesnia-ID43soz.html#de3f47c1fe;2020-02-05 18:13:05.524881
Sprzedam 4 pokojowe na Kurdwanowie;Mieszkanie na sprzedaż: , Podgórze Duchackie, Kurdwanów;4 pokoje;520 000 zł;73 m²;7 123 zł/m²;https://www.otodom.pl/oferta/sprzedam-4-pokojowe-na-kurdwanowie-ID44rXW.html#de3f47c1fe;2020-02-05 18:13:05.524881
2 pok (oddzielne) 35 m2 Grzegórzki;Mieszkanie na sprzedaż: , Grzegórzki;2 pokoje;399 900 zł;33 m²;12 118 zł/m²;https://www.otodom.pl/oferta/2-pok-oddzielne-35-m2-grzegorzki-ID44vUP.html#de3f47c1fe;2020-02-05 18:13:05.524881
2 pok 35m2 Stare Dębniki;Mieszkanie na sprzedaż: , Dębniki, Stare Dębniki;2 pokoje;626 000 zł;35 m²;17 886 zł/m²;https://www.otodom.pl/oferta/2-pok-35m2-stare-debniki-ID44y81.html#de3f47c1fe;2020-02-05 18:13:05.524881
Kraków-Libertów-Jabłoniowa-w apartamentowcu-3 pok;Mieszkanie na sprzedaż: , Swoszowice, Opatkowice;3 pokoje;289 000 zł;51,09 m²;5 657 zł/m²;https://www.otodom.pl/oferta/krakow-libertow-jabloniowa-w-apartamentowcu-3-pok-ID44y43.html#de3f47c1fe;2020-02-05 18:13:05.524881
Nowa Huta-Na Skarpie-2/3 pok-47m-balkon-do remontu;Mieszkanie na sprzedaż: , Nowa Huta;2 pokoje;298 000 zł;47,13 m²;6 323 zł/m²;https://www.otodom.pl/oferta/nowa-huta-na-skarpie-2-3-pok-47m-balkon-do-remontu-ID44yjx.html#de3f47c1fe;2020-02-05 18:13:05.524881
3 pokoje*Kurdwanów*60m2;Mieszkanie na sprzedaż: , Podgórze Duchackie;3 pokoje;500 000 zł;60 m²;8 333 zł/m²;https://www.otodom.pl/oferta/3-pokojekurdwanow60m2-ID44yjC.html#de3f47c1fe;2020-02-05 18:13:05.524881
Grzegórzki Park, F. Nullo street 3bed- 1 100 000 P;Mieszkanie na sprzedaż: , Grzegórzki;3 pokoje;1 100 000 zł;83 m²;13 253 zł/m²;https://www.otodom.pl/oferta/grzegorzki-park-f-nullo-street-3bed-1-100-000-p-ID447gH.html#de3f47c1fe;2020-02-05 18:13:05.524881
Krowodrza - 2 pokoje, osobna kuchnia!;Mieszkanie na sprzedaż: , Prądnik Biały;2 pokoje;339 000 zł;38 m²;8 921 zł/m²;https://www.otodom.pl/oferta/krowodrza-2-pokoje-osobna-kuchnia-ID44yj8.html#de3f47c1fe;2020-02-05 18:13:05.524881
Pakiet 5 mieszkań w centrum na sprzedaż!;Mieszkanie na sprzedaż: , Podgórze;5 pokoi;1 760 000 zł;114 m²;15 439 zł/m²;https://www.otodom.pl/oferta/pakiet-5-mieszkan-w-centrum-na-sprzedaz-ID44yiZ.html#de3f47c1fe;2020-02-05 18:13:05.524881
0% prowizji i PCC, prestiżowa lokalizacja, portier;Mieszkanie na sprzedaż: , Grzegórzki;3 pokoje;664 355 zł;58 m²;11 454 zł/m²;https://www.otodom.pl/oferta/0-prowizji-i-pcc-prestizowa-lokalizacja-portier-ID44yiL.html#de3f47c1fe;2020-02-05 18:13:05.524881
