;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry;dst_center;vist_dist;trams_dist
1;Kraków – Nowa Huta – os. Centrum E– 74 m2;Kraków , Nowa Huta;4 pokoje;519000.0;74.0;7014.0;https://www.otodom.pl/oferta/krakow-nowa-huta-os-centrum-e-74-m2-ID44sdX.html#09c0ecd350;2020-02-02 23:18:09.156959;"""Kraków""";"Kraków, Kraków , Nowa Huta, ""Kraków""";Kraków Nowa Huta, Organki, Kombinat, Nowa Huta, Kraków, województwo małopolskie, 31-990, Polska;(50.0899571, 20.1269749, 0.0);50.0899571;20.1269749;0.0;POINT (580591.0830060896 247575.3607144151);13865;4889.870233355072;2022.143400059416
3;Starowiślna - Stare Miasto - Kraków;Kraków , Stare Miasto;2 pokoje;720000.0;62.0;11613.0;https://www.otodom.pl/oferta/starowislna-stare-miasto-krakow-ID44s6L.html#09c0ecd350;2020-02-02 23:18:09.156959;Starowiślna;Kraków, Kraków , Stare Miasto, Starowiślna;Starowiślna, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-038, Polska;(50.0560672, 19.9457877, 0.0);50.0560672;19.9457877;0.0;POINT (567682.1226694608 243628.7109473413);781;861.0404787494102;113.87371199977093
7;3 pok. z ogródkiem na ul. Adama Prażmowskiego;Kraków , Dębniki, Sidzina;3 pokoje;359000.0;55.0;6527.0;https://www.otodom.pl/oferta/3-pok-z-ogrodkiem-na-ul-adama-prazmowskiego-ID44svV.html#09c0ecd350;2020-02-02 23:18:09.156959;Prażmowskiego;Kraków, Kraków , Dębniki, Sidzina, Prażmowskiego;Adama Prażmowskiego, Sidzina, Dębniki, Kraków, województwo małopolskie, 30-399, Polska;(49.9831768, 19.8733578, 0.0);49.9831768;19.8733578;0.0;POINT (562593.6295408703 235463.9017473655);9809;6125.559628210259;4030.7909740609944
12;2 Pok Garderoba Garaż Balkon Cz. Prądnik Marchołta;Kraków , Prądnik Czerwony;2 pokoje;569000.0;50.4;11290.0;https://www.otodom.pl/oferta/2-pok-garderoba-garaz-balkon-cz-pradnik-marcholta-ID44mvc.html#09c0ecd350;2020-02-02 23:18:09.156959;Prądnika;Kraków, Kraków , Prądnik Czerwony, Prądnika;Enklawa Prądnika, Prądnik Czerwony, Kraków, województwo małopolskie, Polska;(50.0933468, 19.98679355896063, 0.0);50.0933468;19.98679355896063;0.0;POINT (570561.7860403393 247810.2744327188);5006;3677.959506270913;707.4642569888396
16;Mieszkanie 36,9m2 świeżo po remoncie. Mały Płaszów;Kraków , Podgórze;2 pokoje;370000.0;36.9;10027.0;https://www.otodom.pl/oferta/mieszkanie-36-9m2-swiezo-po-remoncie-maly-plaszow-ID44uEQ.html#09c0ecd350;2020-02-02 23:18:09.156959;Płaszów;Kraków, Kraków , Podgórze, Płaszów;Płaszów, Podgórze, Kraków, województwo małopolskie, Polska;(50.039926949999995, 19.99481075250016, 0.0);50.039926949999995;19.99481075250016;0.0;POINT (571214.1130514935 241880.2870066892);4684;1050.1675202794804;165.25334876802833
17;Nowa inwestycja - Kazimierz Krakowska/Skawińska;Kraków , Stare Miasto, Kazimierz;2 pokoje;634660.0;48.82;13000.0;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-krakowska-skawinska-ID44uEx.html#09c0ecd350;2020-02-02 23:18:09.156959;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022);1260;395.91643450410254;147.83821203222706
18;Komfortowy apartament przy Zakrzówku;Kraków , Dębniki;2 pokoje;539000.0;56.0;9625.0;https://www.otodom.pl/oferta/komfortowy-apartament-przy-zakrzowku-ID44r1G.html#09c0ecd350;2020-02-02 23:18:09.156959;Zakrzówek;Kraków, Kraków , Dębniki, Zakrzówek;Zakrzówek, Dębniki, Kraków, województwo małopolskie, 30-346, Polska;(50.0418746, 19.9197934, 0.0);50.0418746;19.9197934;0.0;POINT (565841.3712397455 242027.9884201232);2492;1019.3479179999155;311.81983016011986
20;NOWA Inwestycja - Kazimierz, Miodowa/Krakowska;Kraków , Stare Miasto, Kazimierz;2 pokoje;483000.0;32.2;15000.0;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-miodowa-krakowska-ID44uBN.html#09c0ecd350;2020-02-02 23:18:09.156959;Kazimierza;Kraków, Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022);1260;395.91643450410254;147.83821203222706
22;Mieszkanie 84 m2 4pok. Kraków Żabiniec;Kraków , Prądnik Biały, Żabiniec;3 pokoje;590000.0;84.0;7024.0;https://www.otodom.pl/oferta/mieszkanie-84-m2-4pok-krakow-zabiniec-ID44uyS.html#09c0ecd350;2020-02-02 23:18:09.156959;"""Kraków""";"Kraków, Kraków , Prądnik Biały, Żabiniec, ""Kraków""";FUP Kraków 73, 1, Ludwika Solskiego, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-200, Polska;(50.0844088, 19.9449087, 0.0);50.0844088;19.9449087;0.0;POINT (567579.3790518836 246778.0815080479);2649;3416.9380950071495;649.3151870306793
26;Apartament 3 pokojowy, 63 m, Grzegórzki Kotlarska;Kraków , Grzegórzki;3 pokoje;674800.0;63.0;10711.0;https://www.otodom.pl/oferta/apartament-3-pokojowy-63-m-grzegorzki-kotlarska-ID44pdH.html#09c0ecd350;2020-02-02 23:18:09.156959;Grzegórzeckie;Kraków, Kraków , Grzegórzki, Grzegórzeckie;Rondo Grzegórzeckie, Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-539, Polska;(50.05760175, 19.957833465730346, 0.0);50.05760175;19.957833465730346;0.0;POINT (568541.9372308356 243810.2551311059);1465;532.1757339387575;8.926368849540838
Ruczaj/Obozowa 60M2,Apartament,Piękny Taras 25M2.;Kraków , Dębniki, Ruczaj;3 pokoje;459 000 zł;59,93 m²;7 659 zł/m²;https://www.otodom.pl/oferta/ruczaj-obozowa-60m2-apartament-piekny-taras-25m2-ID44uh1.html#09c0ecd350;2020-02-02 23:19:52.048161
2 pokoje 52m2 osobna kuchnia Nowa Huta Krakowiaków;Kraków , Nowa Huta;2 pokoje;335 000 zł;52 m²;6 442 zł/m²;https://www.otodom.pl/oferta/2-pokoje-52m2-osobna-kuchnia-nowa-huta-krakowiakow-ID44tIU.html#09c0ecd350;2020-02-02 23:19:52.048161
Przytulne mieszkanie przy ul. Gustawa Morcinka;Kraków , Wzgórza Krzesławickie, Zesławice;2 pokoje;299 000 zł;39 m²;7 667 zł/m²;https://www.otodom.pl/oferta/przytulne-mieszkanie-przy-ul-gustawa-morcinka-ID44re1.html#09c0ecd350;2020-02-02 23:19:52.048161
Starowiślna - Stare Miasto - Kraków;Kraków , Stare Miasto;2 pokoje;720 000 zł;62 m²;11 613 zł/m²;https://www.otodom.pl/oferta/starowislna-stare-miasto-krakow-ID44s6L.html#09c0ecd350;2020-02-02 23:19:52.048161
Apartament 3 pok. z ogródkiem!;Kraków , Prądnik Biały;3 pokoje;490 730 zł;64,57 m²;7 600 zł/m²;https://www.otodom.pl/oferta/apartament-3-pok-z-ogrodkiem-ID44uJx.html#09c0ecd350;2020-02-02 23:19:52.048161
III poziomy, ogródek, taras, m.postojowe Gratis;Kraków , Zwierzyniec, Wola Justowska;5 pokoi;779 000 zł;94,38 m²;8 254 zł/m²;https://www.otodom.pl/oferta/iii-poziomy-ogrodek-taras-m-postojowe-gratis-ID44uJt.html#09c0ecd350;2020-02-02 23:19:52.048161
3 pokoje, ogródek, m.postojowe Gratis;Kraków , Zwierzyniec, Wola Justowska;3 pokoje;519 000 zł;56,07 m²;9 256 zł/m²;https://www.otodom.pl/oferta/3-pokoje-ogrodek-m-postojowe-gratis-ID44uJr.html#09c0ecd350;2020-02-02 23:19:52.048161
3 pok. z ogródkiem na ul. Adama Prażmowskiego;Kraków , Dębniki, Sidzina;3 pokoje;359 000 zł;55 m²;6 527 zł/m²;https://www.otodom.pl/oferta/3-pok-z-ogrodkiem-na-ul-adama-prazmowskiego-ID44svV.html#09c0ecd350;2020-02-02 23:19:52.048161
Stara Huta, Os Zielone, 51m2. Wysoki Parter;Kraków , Nowa Huta;2 pokoje;469 000 zł;51 m²;9 196 zł/m²;https://www.otodom.pl/oferta/stara-huta-os-zielone-51m2-wysoki-parter-ID44tIE.html#09c0ecd350;2020-02-02 23:19:52.048161
Apartamenty z ogródkiem!;Kraków , Prądnik Biały;5 pokoi;799 000 zł;126,69 m²;6 307 zł/m²;https://www.otodom.pl/oferta/apartamenty-z-ogrodkiem-ID44uHZ.html#09c0ecd350;2020-02-02 23:19:52.048161
Centrum, UEK, Politechnika. Nowe - 2 pokoje;Kraków , Stare Miasto;2 pokoje;325 000 zł;29,11 m²;11 165 zł/m²;https://www.otodom.pl/oferta/centrum-uek-politechnika-nowe-2-pokoje-ID44uHJ.html#09c0ecd350;2020-02-02 23:19:52.048161
Atrakcyjna inwestycja w pobliżu centr Biznesowych!;Kraków , Grzegórzki, Olsza;2 pokoje;414 540 zł;44,29 m²;9 360 zł/m²;https://www.otodom.pl/oferta/atrakcyjna-inwestycja-w-poblizu-centr-biznesowych-ID44uHb.html#09c0ecd350;2020-02-02 23:19:52.048161
2 Pok Garderoba Garaż Balkon Cz. Prądnik Marchołta;Kraków , Prądnik Czerwony;2 pokoje;569 000 zł;50,40 m²;11 290 zł/m²;https://www.otodom.pl/oferta/2-pok-garderoba-garaz-balkon-cz-pradnik-marcholta-ID44mvc.html#09c0ecd350;2020-02-02 23:19:52.048161
Mieszkanie 2 pok. 55,24 m2 z ogródkiem 58,72 m2;Kraków , Swoszowice;2 pokoje;359 060 zł;55,24 m²;6 500 zł/m²;https://www.otodom.pl/oferta/mieszkanie-2-pok-55-24-m2-z-ogrodkiem-58-72-m2-ID44qBh.html#09c0ecd350;2020-02-02 23:19:52.048161
ul. Grota Roweckiego.Ruczaj. CZTEROPOKOJOWE,balkon;Kraków , Dębniki, Ruczaj;4 pokoje;569 000 zł;71,46 m²;7 962 zł/m²;https://www.otodom.pl/oferta/ul-grota-roweckiego-ruczaj-czteropokojowe-balkon-ID44kpG.html#09c0ecd350;2020-02-02 23:19:52.048161
Kawalerka 25.66 Bieżanów - Zlocień Nowe z balkonem;Kraków , Bieżanów-Prokocim;1 pokój;181 900 zł;25,66 m²;7 089 zł/m²;https://www.otodom.pl/oferta/kawalerka-25-66-biezanow-zlocien-nowe-z-balkonem-ID44uEL.html#09c0ecd350;2020-02-02 23:19:52.048161
Mieszkanie 36,9m2 świeżo po remoncie. Mały Płaszów;Kraków , Podgórze;2 pokoje;370 000 zł;36,90 m²;10 027 zł/m²;https://www.otodom.pl/oferta/mieszkanie-36-9m2-swiezo-po-remoncie-maly-plaszow-ID44uEQ.html#09c0ecd350;2020-02-02 23:19:52.048161
Nowa inwestycja - Kazimierz Krakowska/Skawińska;Kraków , Stare Miasto, Kazimierz;2 pokoje;634 660 zł;48,82 m²;13 000 zł/m²;https://www.otodom.pl/oferta/nowa-inwestycja-kazimierz-krakowska-skawinska-ID44uEx.html#09c0ecd350;2020-02-02 23:19:52.048161
Komfortowy apartament przy Zakrzówku;Kraków , Dębniki;2 pokoje;539 000 zł;56 m²;9 625 zł/m²;https://www.otodom.pl/oferta/komfortowy-apartament-przy-zakrzowku-ID44r1G.html#09c0ecd350;2020-02-02 23:19:52.048161
Nowa inwestycja-tylko 16 mieszkań, biuro sprzedaży;Kraków , Prądnik Biały;2 pokoje;402 414 zł;42,81 m²;9 400 zł/m²;https://www.otodom.pl/oferta/nowa-inwestycja-tylko-16-mieszkan-biuro-sprzedazy-ID44uCZ.html#09c0ecd350;2020-02-02 23:19:52.048161
